protocol,anisotropy,drift_cycles,entanglement_fidelity,logical_error,lambda_x,lambda_y,lambda_z,updates,switches,mismatched_round_fraction,best_static_logical_error,adaptive_benefit_log10,overactive_penalty_log10,best_protocol
fixed_x,0.0,0.0,0.5018498530643941,0.4981501469356059,0.026101451589665543,0.024961762967716503,0.9563361977001945,0.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
fixed_z,0.0,0.0,0.5018498530643941,0.4981501469356059,0.9563361977001945,0.024961762967716503,0.026101451589665543,0.0,0.0,1.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
static_tailored,0.0,0.0,0.5018498530643941,0.4981501469356059,0.026101451589665543,0.024961762967716503,0.9563361977001945,0.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
adaptive_tailored,0.0,0.0,0.5004077746090354,0.4995922253909646,0.02595559012744485,0.024683557295010403,0.950991951013686,4.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
overactive_adaptive,0.0,0.0,0.4850911284822945,0.5149088715177055,0.024403921712206712,0.021820524219165652,0.8941400679978059,48.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
fixed_x,0.0,0.05,0.5018498530643941,0.4981501469356059,0.026101451589665543,0.024961762967716503,0.9563361977001945,0.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
fixed_z,0.0,0.05,0.5018498530643941,0.4981501469356059,0.9563361977001945,0.024961762967716503,0.026101451589665543,0.0,0.0,1.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
static_tailored,0.0,0.05,0.5018498530643941,0.4981501469356059,0.026101451589665543,0.024961762967716503,0.9563361977001945,0.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
adaptive_tailored,0.0,0.05,0.5004077746090354,0.4995922253909646,0.02595559012744485,0.024683557295010403,0.950991951013686,4.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
overactive_adaptive,0.0,0.05,0.4850911284822945,0.5149088715177055,0.024403921712206712,0.021820524219165652,0.8941400679978059,48.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
fixed_x,0.0,0.1,0.5018498530643941,0.4981501469356059,0.026101451589665543,0.024961762967716503,0.9563361977001945,0.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
fixed_z,0.0,0.1,0.5018498530643941,0.4981501469356059,0.9563361977001945,0.024961762967716503,0.026101451589665543,0.0,0.0,1.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
static_tailored,0.0,0.1,0.5018498530643941,0.4981501469356059,0.026101451589665543,0.024961762967716503,0.9563361977001945,0.0,0.0,0.0,0.4981501469356059,-0.001255408548560645,0.013114703176911668,fixed_x
