hidden_qubits,released_qubits,predicted_admissible,decodable_fraction,S_ref,S_rad,S_hid,S_ref_rad,S_ref_hid,I_ref_rad,I_ref_hid,complementarity_sum,complementarity_target
0,9,1,1.0,0.99841364,0.99841364,0.0,0.0,0.99841364,1.99682727,0.0,1.99682727,1.99682727
1,8,1,0.997065,0.99841364,1.99115433,0.99860177,0.99860177,1.99115433,1.99096619,0.00586108,1.99682727,1.99682727
2,7,1,0.983919,0.99841364,2.95780625,1.99150373,1.99150373,2.95780625,1.96471615,0.03211112,1.99682727,1.99682727
3,6,1,0.933127,0.99841364,3.82665273,2.96177218,2.96177218,3.82665273,1.86329419,0.13353308,1.99682727,1.99682727
4,5,1,0.728322,0.99841364,4.27423195,3.81831205,3.81831205,4.27423195,1.45433354,0.54249374,1.99682727,1.99682727
5,4,0,0.269078,0.99841364,3.80947864,4.27058961,4.27058959,3.80947864,0.53730269,1.4595246,1.99682729,1.99682727
6,3,0,0.0686,0.99841364,2.95186213,3.81329295,3.81329295,2.95186213,0.13698281,1.85984446,1.99682727,1.99682727
7,2,0,0.015975,0.99841364,1.9876131,2.95412705,2.95412705,1.9876131,0.03189969,1.96492758,1.99682727,1.99682727
8,1,0,0.002601,0.99841364,0.99740567,1.99062458,1.99062458,0.99740567,0.00519473,1.99163254,1.99682727,1.99682727
9,0,0,0.0,0.99841364,0.0,0.99841364,0.99841364,0.0,0.0,1.99682727,1.99682727,1.99682727
