sigma2,drift_rate,W_star,W_pred_continuum,M_star
1.0,0.001,126,125.99210498948729,0.011842757936507936
1.0,0.0015199110829529332,96,95.30840698595973,0.01562889680247929
1.0,0.0023101297000831605,72,72.0973146925299,0.020614464095016643
1.0,0.003511191734215131,55,54.538974580064426,0.027169270912350843
1.0,0.005336699231206312,42,41.256734192252836,0.03577839454662528
1.0,0.008111308307896872,32,31.20920643110842,0.04705684572239808
1.0,0.012328467394420659,24,23.608620147215603,0.061767490738719205
1.0,0.01873817422860384,18,17.859055355535965,0.08092391583525987
1.0,0.02848035868435802,14,13.509720441231051,0.10569884902943572
1.0,0.04328761281083059,11,10.21960807930643,0.13775452648060055
1.0,0.0657933224657568,8,7.730758733976313,0.17802732569326746
1.0,0.1,6,5.848035476425731,0.22916666666666666
