p_noise,backaction,gamma,T_star,T_pred_continuum,J_star
0.002,0.0001,0.00010000500033334732,3,2.886823518641024,6.89094737471544e-05
0.002,0.000161292092890152,0.0001613051018586375,4,3.6663458404183755,8.751100148541824e-05
0.002,0.0002601513922888542,0.0002601852375323613,5,4.656404527926754,0.0001107113849494939
0.002,0.00041960362530556205,0.0004196916835406585,6,5.913907926381805,0.0001399938420272264
0.002,0.0006767874690982925,0.0006770165931221145,8,7.511194940010736,0.00017706538947854584
0.002,0.0010916046733269267,0.0010922009076492747,10,9.540269508986958,0.0002235986066279838
0.002,0.0017606720236957054,0.001762223828430146,13,12.11825010892712,0.00028202557789134273
0.002,0.002839824755950199,0.002843864708590286,17,15.394438142259597,0.00035508432460207783
0.002,0.0045804127832847225,0.004590935016994264,22,19.55959912888951,0.000445926674161413
0.002,0.007387843641167992,0.0074152689172579675,29,24.858380406578462,0.0005583569332653673
0.002,0.011916007628291866,0.011987572325657048,38,31.606397461137846,0.0006962827223359964
0.002,0.019219578092622095,0.019406675349973212,51,40.21471056505443,0.0008638804148846369
0.002,0.030999659750247335,0.03149031595649678,70,51.22687767544233,0.001064512914893237
0.002,0.049999999999999996,0.05129329438755058,100,65.37921075512114,0.001299485440178516
