sample,alpha,theta0,lambda_star,bound_2_over_alpha,bound_2_over_theta0,bound_satisfied,tight_bound_satisfied
0,0.25,-0.457253,2.297924,8.0,4.373945,1,1
1,0.25,-0.258957,3.918385,8.0,7.723276,1,1
2,0.25,-0.459063,2.969404,8.0,4.356697,1,1
3,0.25,-0.558512,2.313356,8.0,3.580941,1,1
4,0.25,-0.675754,2.490232,8.0,2.959657,1,1
5,0.25,-0.40065,2.858176,8.0,4.991887,1,1
6,0.25,-0.57652,2.265444,8.0,3.469091,1,1
7,0.25,-0.426206,2.549934,8.0,4.692568,1,1
8,0.25,-0.302552,2.876142,8.0,6.610439,1,1
9,0.25,-0.304316,2.925855,8.0,6.572117,1,1
10,0.25,-0.638337,2.121416,8.0,3.133141,1,1
11,0.25,-0.48219,2.386358,8.0,4.147744,1,1
12,0.25,-0.322056,3.052385,8.0,6.210102,1,1
13,0.25,-0.448313,2.664911,8.0,4.461171,1,1
14,0.25,-0.744403,2.409921,8.0,2.686718,1,1
15,0.25,-0.325452,3.010917,8.0,6.145301,1,1
16,0.25,-0.444561,2.712785,8.0,4.498818,1,1
17,0.25,-0.739652,1.948892,8.0,2.703975,1,1
18,0.25,-0.548776,2.814409,8.0,3.644476,1,1
19,0.25,-0.625531,2.402746,8.0,3.197283,1,1
20,0.25,-0.69246,2.81669,8.0,2.888252,1,1
21,0.25,-0.369818,3.36728,8.0,5.408061,1,1
22,0.25,-0.449224,3.113046,8.0,4.452122,1,1
23,0.25,-0.747334,2.182579,8.0,2.676178,1,1
24,0.25,-0.261316,3.178275,8.0,7.653579,1,1
25,0.25,-0.725477,2.317801,8.0,2.756808,1,1
26,0.25,-0.523511,2.364203,8.0,3.820359,1,1
27,0.25,-0.501733,2.892165,8.0,3.986181,1,1
28,0.25,-0.395272,3.573288,8.0,5.059809,1,1
29,0.25,-0.333229,3.546907,8.0,6.001885,1,1
30,0.25,-0.56952,2.465515,8.0,3.511731,1,1
31,0.25,-0.438094,3.401346,8.0,4.565232,1,1
32,0.25,-0.573181,2.647268,8.0,3.489298,1,1
33,0.25,-0.514178,2.322268,8.0,3.889704,1,1
34,0.25,-0.732243,2.014193,8.0,2.731334,1,1
35,0.25,-0.341078,2.990672,8.0,5.863768,1,1
36,0.25,-0.317302,4.023158,8.0,6.303144,1,1
37,0.25,-0.361535,3.035539,8.0,5.531969,1,1
38,0.25,-0.70394,2.180214,8.0,2.841151,1,1
39,0.25,-0.748526,2.452098,8.0,2.671916,1,1
40,0.25,-0.495583,2.707613,8.0,4.03565,1,1
41,0.25,-0.255271,4.144016,8.0,7.834818,1,1
42,0.25,-0.344178,2.777769,8.0,5.810946,1,1
43,0.25,-0.382671,2.621984,8.0,5.226417,1,1
44,0.25,-0.254552,3.411772,8.0,7.856944,1,1
45,0.25,-0.608673,2.819666,8.0,3.285839,1,1
46,0.25,-0.341405,2.762409,8.0,5.858147,1,1
47,0.25,-0.431212,2.780285,8.0,4.638087,1,1
48,0.25,-0.58402,2.431385,8.0,3.424538,1,1
49,0.25,-0.554204,2.423587,8.0,3.608781,1,1
50,0.25,-0.547342,2.712716,8.0,3.654023,1,1
51,0.25,-0.583944,2.711364,8.0,3.424986,1,1
52,0.25,-0.254769,3.796349,8.0,7.850256,1,1
53,0.25,-0.283291,3.334846,8.0,7.059873,1,1
54,0.25,-0.491029,2.397293,8.0,4.073079,1,1
55,0.25,-0.728669,2.005728,8.0,2.744732,1,1
56,0.25,-0.574087,2.579996,8.0,3.483792,1,1
57,0.25,-0.363177,3.380445,8.0,5.506963,1,1
58,0.25,-0.605038,2.384624,8.0,3.305577,1,1
59,0.25,-0.64499,2.623011,8.0,3.100821,1,1
60,0.25,-0.713687,1.977979,8.0,2.802348,1,1
61,0.25,-0.644348,2.198858,8.0,3.103911,1,1
62,0.25,-0.356254,3.141502,8.0,5.613979,1,1
63,0.25,-0.738343,1.95347,8.0,2.708768,1,1
64,0.25,-0.256337,3.77726,8.0,7.802229,1,1
65,0.25,-0.569931,2.259912,8.0,3.509198,1,1
66,0.25,-0.628289,2.878551,8.0,3.183246,1,1
67,0.25,-0.691546,2.340523,8.0,2.892073,1,1
68,0.25,-0.664138,2.405841,8.0,3.011423,1,1
69,0.25,-0.593326,2.314773,8.0,3.370827,1,1
70,0.25,-0.584407,2.277778,8.0,3.422274,1,1
71,0.25,-0.429134,2.52801,8.0,4.66055,1,1
72,0.25,-0.315299,2.740403,8.0,6.343187,1,1
73,0.25,-0.691549,2.11829,8.0,2.892057,1,1
74,0.25,-0.749412,2.130849,8.0,2.66876,1,1
75,0.25,-0.251111,4.141201,8.0,7.964616,1,1
76,0.25,-0.273056,4.420106,8.0,7.324496,1,1
77,0.25,-0.544421,2.67296,8.0,3.673628,1,1
78,0.25,-0.416605,3.074346,8.0,4.800715,1,1
79,0.25,-0.524139,2.294487,8.0,3.815783,1,1
80,0.25,-0.652599,2.830833,8.0,3.064671,1,1
81,0.25,-0.281494,3.801422,8.0,7.104941,1,1
82,0.25,-0.669614,2.487894,8.0,2.986797,1,1
83,0.25,-0.425908,2.484763,8.0,4.695854,1,1
84,0.25,-0.305694,3.311921,8.0,6.542491,1,1
85,0.25,-0.446629,3.425162,8.0,4.477995,1,1
86,0.25,-0.417453,3.16188,8.0,4.790961,1,1
87,0.25,-0.741408,1.875797,8.0,2.697569,1,1
88,0.25,-0.318506,3.21887,8.0,6.279321,1,1
89,0.25,-0.594156,2.118533,8.0,3.366118,1,1
90,0.25,-0.399813,3.003638,8.0,5.002341,1,1
91,0.25,-0.59496,2.700147,8.0,3.361573,1,1
92,0.25,-0.265062,3.542972,8.0,7.54541,1,1
93,0.25,-0.419522,2.746621,8.0,4.767327,1,1
94,0.25,-0.462975,2.983661,8.0,4.319891,1,1
95,0.25,-0.511321,2.565708,8.0,3.911437,1,1
96,0.25,-0.615213,2.217629,8.0,3.250906,1,1
97,0.25,-0.456801,2.805401,8.0,4.378272,1,1
98,0.25,-0.401573,2.752321,8.0,4.98042,1,1
99,0.25,-0.718993,2.451074,8.0,2.78167,1,1
0,0.5,-0.575747,2.595328,4.0,3.47375,1,1
1,0.5,-1.371423,1.312338,4.0,1.458339,1,1
2,0.5,-1.330863,1.447388,4.0,1.502784,1,1
3,0.5,-0.813728,2.138239,4.0,2.457824,1,1
4,0.5,-1.272651,1.419401,4.0,1.571522,1,1
5,0.5,-1.141702,1.504731,4.0,1.751771,1,1
6,0.5,-0.72401,2.350479,4.0,2.762392,1,1
7,0.5,-0.709687,2.350994,4.0,2.818143,1,1
8,0.5,-1.253276,1.483796,4.0,1.595817,1,1
9,0.5,-0.73036,2.482003,4.0,2.738376,1,1
10,0.5,-0.663329,2.205682,4.0,3.015093,1,1
11,0.5,-1.368036,1.341263,4.0,1.461949,1,1
12,0.5,-0.927306,1.932214,4.0,2.156785,1,1
13,0.5,-1.154198,1.480355,4.0,1.732804,1,1
14,0.5,-0.734014,2.232031,4.0,2.724743,1,1
15,0.5,-1.425514,1.284325,4.0,1.403002,1,1
16,0.5,-0.742282,2.377947,4.0,2.694394,1,1
17,0.5,-1.206431,1.492886,4.0,1.657782,1,1
18,0.5,-0.681515,2.11696,4.0,2.934636,1,1
19,0.5,-0.835415,1.809755,4.0,2.394019,1,1
20,0.5,-0.55897,2.551648,4.0,3.57801,1,1
21,0.5,-1.351671,1.296926,4.0,1.47965,1,1
22,0.5,-0.904831,1.985619,4.0,2.210358,1,1
23,0.5,-0.842343,2.02147,4.0,2.37433,1,1
24,0.5,-0.596997,2.340955,4.0,3.350101,1,1
25,0.5,-1.182172,1.467545,4.0,1.691801,1,1
26,0.5,-1.382682,1.367188,4.0,1.446464,1,1
27,0.5,-1.378341,1.288929,4.0,1.45102,1,1
28,0.5,-0.62087,2.416479,4.0,3.221284,1,1
29,0.5,-0.923349,1.743502,4.0,2.166028,1,1
30,0.5,-1.477153,1.26094,4.0,1.353955,1,1
31,0.5,-0.870196,2.048304,4.0,2.298334,1,1
32,0.5,-1.466916,1.279972,4.0,1.363404,1,1
33,0.5,-0.676229,2.398991,4.0,2.95758,1,1
34,0.5,-0.818571,2.029362,4.0,2.443284,1,1
35,0.5,-0.586034,2.401656,4.0,3.412769,1,1
36,0.5,-0.992896,1.742342,4.0,2.014309,1,1
37,0.5,-1.07084,1.68503,4.0,1.867693,1,1
38,0.5,-0.682149,2.474396,4.0,2.93191,1,1
39,0.5,-1.046955,1.791683,4.0,1.910301,1,1
40,0.5,-0.913317,1.780599,4.0,2.189821,1,1
41,0.5,-0.816777,2.095425,4.0,2.448649,1,1
42,0.5,-0.723176,2.348582,4.0,2.765579,1,1
43,0.5,-1.411414,1.262782,4.0,1.417019,1,1
44,0.5,-0.658556,2.458671,4.0,3.036945,1,1
45,0.5,-1.136002,1.670568,4.0,1.76056,1,1
46,0.5,-0.676799,2.332878,4.0,2.955086,1,1
47,0.5,-0.608111,2.384823,4.0,3.288874,1,1
48,0.5,-0.881568,1.810567,4.0,2.268685,1,1
49,0.5,-1.281964,1.371844,4.0,1.560106,1,1
50,0.5,-0.919637,1.794902,4.0,2.174772,1,1
51,0.5,-1.491622,1.223039,4.0,1.340822,1,1
52,0.5,-1.106551,1.580233,4.0,1.807418,1,1
53,0.5,-0.527003,2.457174,4.0,3.795044,1,1
54,0.5,-0.82256,2.091322,4.0,2.431433,1,1
55,0.5,-1.257466,1.502252,4.0,1.5905,1,1
56,0.5,-0.978303,1.739586,4.0,2.044357,1,1
57,0.5,-0.541481,2.767464,4.0,3.693573,1,1
58,0.5,-0.981231,1.732495,4.0,2.038256,1,1
59,0.5,-1.317514,1.340652,4.0,1.518011,1,1
60,0.5,-1.400629,1.333863,4.0,1.42793,1,1
61,0.5,-0.605628,2.469894,4.0,3.302355,1,1
62,0.5,-0.72578,2.061158,4.0,2.755654,1,1
63,0.5,-0.914906,1.825414,4.0,2.186017,1,1
64,0.5,-0.561034,2.485276,4.0,3.564845,1,1
65,0.5,-1.430824,1.250267,4.0,1.397796,1,1
66,0.5,-1.244807,1.428456,4.0,1.606674,1,1
67,0.5,-1.292532,1.495975,4.0,1.547351,1,1
68,0.5,-0.542266,3.008138,4.0,3.688227,1,1
69,0.5,-1.418291,1.287306,4.0,1.410148,1,1
70,0.5,-1.337772,1.327225,4.0,1.495023,1,1
71,0.5,-1.283789,1.501309,4.0,1.557888,1,1
72,0.5,-1.416662,1.264275,4.0,1.41177,1,1
73,0.5,-0.904551,1.827324,4.0,2.211043,1,1
74,0.5,-1.312138,1.370972,4.0,1.52423,1,1
75,0.5,-0.932897,1.733922,4.0,2.14386,1,1
76,0.5,-0.685868,2.5219,4.0,2.916014,1,1
77,0.5,-0.913418,1.860278,4.0,2.189578,1,1
78,0.5,-1.333484,1.396466,4.0,1.499831,1,1
79,0.5,-1.079337,1.648475,4.0,1.85299,1,1
80,0.5,-0.623106,2.1498,4.0,3.209726,1,1
81,0.5,-0.648819,2.121957,4.0,3.082525,1,1
82,0.5,-0.737372,2.029701,4.0,2.712335,1,1
83,0.5,-0.665144,2.250309,4.0,3.006868,1,1
84,0.5,-1.199832,1.604115,4.0,1.6669,1,1
85,0.5,-0.973207,1.875548,4.0,2.055061,1,1
86,0.5,-0.815041,2.211056,4.0,2.453865,1,1
87,0.5,-0.639809,2.117177,4.0,3.125934,1,1
88,0.5,-1.360732,1.300877,4.0,1.469797,1,1
