delta,retained_mass_Z,discarded_coordination_bits,exclusion_channel_entropy_bits,absorption_channel_entropy_bits
0.0,1.0,-0.0,3.617397,0.0
0.036834,1.0,-0.0,3.828016,0.0
0.073668,1.0,-0.0,3.827667,0.0
0.110503,1.0,-0.0,3.786741,0.0
0.147337,1.0,-0.0,3.731123,0.0
0.184171,1.0,-0.0,3.662328,0.0
0.221005,1.0,-0.0,3.675751,0.0
0.25784,1.0,-0.0,3.705482,0.0
0.294674,1.0,-0.0,3.73533,0.0
0.331508,1.0,-0.0,3.718265,0.0
0.368342,1.0,-0.0,3.717251,0.0
0.405176,1.0,-0.0,3.67958,0.0
0.442011,1.0,-0.0,3.629144,0.0
0.478845,1.0,-0.0,3.615296,0.0
0.515679,1.0,-0.0,3.654652,0.0
0.552513,1.0,-0.0,3.714711,0.0
0.589347,1.0,-0.0,3.705831,0.0
0.626182,1.0,-0.0,3.577991,0.0
0.663016,1.0,-0.0,3.601857,0.0
0.69985,1.0,-0.0,3.616462,0.0
0.736684,1.0,-0.0,3.606093,0.0
0.773519,1.0,-0.0,3.650083,0.0
0.810353,1.0,-0.0,3.640956,0.0
0.847187,1.0,-0.0,3.622766,0.0
0.884021,1.0,-0.0,3.590847,0.0
0.920855,1.0,-0.0,3.583615,0.0
0.95769,1.0,-0.0,3.585846,0.0
0.994524,1.0,-0.0,3.619825,0.0
1.031358,1.0,-0.0,3.558742,0.0
1.068192,1.0,-0.0,3.557354,0.0
1.105026,1.0,-0.0,3.609347,0.0
1.141861,1.0,-0.0,3.534623,0.0
1.178695,1.0,-0.0,3.493004,0.0
1.215529,1.0,-0.0,3.521665,0.0
1.252363,1.0,-0.0,3.530413,0.0
1.289198,1.0,-0.0,3.562778,0.0
1.326032,1.0,-0.0,3.555445,0.0
1.362866,1.0,-0.0,3.544686,0.0
1.3997,1.0,-0.0,3.484845,0.0
1.436534,1.0,-0.0,3.452798,0.0
1.473369,1.0,-0.0,3.49811,0.0
1.510203,1.0,-0.0,3.49665,0.0
1.547037,1.0,-0.0,3.506814,0.0
1.583871,1.0,-0.0,3.479239,0.0
