dephasing_theta,dephasing_fraction,contraction_bits,sorted_bits,destroyed_bits,chi,chi_closed_form,chi_residual
0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0
0.261799388,0.083333333,4.0,3.920363653,0.079636347,0.980090913,0.980090913,0.0
0.523598776,0.166666667,4.0,3.751070698,0.248929302,0.937767674,0.937767674,0.0
0.785398163,0.25,4.0,3.533346743,0.466653257,0.883336686,0.883336686,0.0
1.047197551,0.333333333,4.0,3.290842195,0.709157805,0.822710549,0.822710549,0.0
1.308996939,0.416666667,4.0,3.041114729,0.958885271,0.760278682,0.760278682,0.0
1.570796327,0.5,4.0,2.798247927,1.201752073,0.699561982,0.699561982,0.0
1.832595715,0.583333333,4.0,2.573840666,1.426159334,0.643460167,0.643460167,0.0
2.094395102,0.666666667,4.0,2.377443751,1.622556249,0.594360938,0.594360938,0.0
2.35619449,0.75,4.0,2.216762796,1.783237204,0.554190699,0.554190699,0.0
2.617993878,0.833333333,4.0,2.097751204,1.902248796,0.524437801,0.524437801,0.0
2.879793266,0.916666667,4.0,2.024649594,1.975350406,0.506162399,0.506162399,0.0
3.141592654,1.0,4.0,2.0,2.0,0.5,0.5,0.0
