policy,step,exported_bits,retained_bits,total_bits,leaked_bits,conservation_residual,contraction_bits,sorted_bits,destroyed_bits,coherent_exported_bits,coherent_total_bits,sector_exported_bits,protected_exported_bits,capacity_bits
coherent_sort,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
coherent_sort,1,2.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
coherent_sort,2,4.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
coherent_sort,3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
coherent_sort,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
coherent_sort,5,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
coherent_sort,6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
classical_sort,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
classical_sort,1,1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,2.0
classical_sort,2,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
classical_sort,3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
classical_sort,4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
classical_sort,5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
classical_sort,6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
leaky_sort,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
leaky_sort,1,1.3991239633071442,1.9999999999999996,3.3991239633071437,0.6008760366928563,0.0,2.0000000000000004,1.3991239633071442,0.6008760366928563,-0.6008760366928558,1.3991239633071437,1.3991239633071437,0.0,2.0
leaky_sort,2,2.7982479266142883,0.0,2.798247926614288,1.201752073385712,0.0,1.9999999999999996,1.3991239633071442,0.6008760366928558,0.7982479266142883,0.7982479266142879,1.3991239633071442,1.3991239633071442,2.0
leaky_sort,3,2.7982479266142883,0.0,2.798247926614288,1.201752073385712,0.0,0.0,0.0,0.0,0.7982479266142883,0.7982479266142879,1.3991239633071442,1.3991239633071442,0.0
leaky_sort,4,2.7982479266142883,0.0,2.798247926614288,1.201752073385712,0.0,0.0,0.0,0.0,0.7982479266142883,0.7982479266142879,1.3991239633071442,1.3991239633071442,0.0
leaky_sort,5,2.7982479266142883,0.0,2.798247926614288,1.201752073385712,0.0,0.0,0.0,0.0,0.7982479266142883,0.7982479266142879,1.3991239633071442,1.3991239633071442,0.0
leaky_sort,6,2.7982479266142883,0.0,2.798247926614288,1.201752073385712,0.0,0.0,0.0,0.0,0.7982479266142883,0.7982479266142879,1.3991239633071442,1.3991239633071442,0.0
crush,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
crush,1,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0
crush,2,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0
crush,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0
crush,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0
crush,5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0
crush,6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0
sector_then_protected,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
sector_then_protected,1,2.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
sector_then_protected,2,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
sector_then_protected,3,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
sector_then_protected,4,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
sector_then_protected,5,4.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
sector_then_protected,6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
centralizing_sort,0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
centralizing_sort,1,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0
centralizing_sort,2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
centralizing_sort,3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
centralizing_sort,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
centralizing_sort,5,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
centralizing_sort,6,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
