policy,step,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,step_efficiency,cumulative_efficiency,capacity_bits,record_entropy_bits,sector_exported_bits,protected_leakage_bits,bandwidth_slack_bits
classical_collapse,0,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,
classical_collapse,1,3.011429,0.000000,3.011429,0.158496,0.000000,0.158496,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.158496
classical_collapse,2,2.765760,0.000000,2.765760,0.245669,0.000000,0.245669,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.245669
classical_collapse,3,2.438076,0.000000,2.438076,0.327683,0.000000,0.327683,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.327683
classical_collapse,4,2.044329,0.000000,2.044329,0.393747,0.000000,0.393747,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.393747
classical_collapse,5,1.614110,0.000000,1.614110,0.430219,0.000000,0.430219,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.430219
classical_collapse,6,1.187292,0.000000,1.187292,0.426818,0.000000,0.426818,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.426818
classical_collapse,7,0.804662,0.000000,0.804662,0.382630,0.000000,0.382630,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.382630
classical_collapse,8,0.496632,0.000000,0.496632,0.308030,0.000000,0.308030,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.308030
classical_collapse,9,0.275603,0.000000,0.275603,0.221030,0.000000,0.221030,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.221030
classical_collapse,10,0.135518,0.000000,0.135518,0.140085,0.000000,0.140085,0.000000,0.000000,1.000000,0.881291,0.000000,0.000000,0.140085
classical_collapse,11,0.058005,0.000000,0.058005,0.077513,0.000000,0.077513,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.077513
classical_collapse,12,0.021125,0.000000,0.021125,0.036880,0.000000,0.036880,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.036880
classical_collapse,13,0.006347,0.000000,0.006347,0.014779,0.000000,0.014779,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.014779
classical_collapse,14,0.001503,0.000000,0.001503,0.004844,0.000000,0.004844,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.004844
classical_collapse,15,0.000260,0.000000,0.000260,0.001242,0.000000,0.001242,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.001242
classical_collapse,16,0.000028,0.000000,0.000028,0.000232,0.000000,0.000232,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000232
classical_collapse,17,0.000002,0.000000,0.000002,0.000026,0.000000,0.000026,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000026
classical_collapse,18,0.000000,0.000000,0.000000,0.000002,0.000000,0.000002,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000002
classical_collapse,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
classical_collapse,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
classical_collapse,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
classical_collapse,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
classical_collapse,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
classical_collapse,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
over_driven_sorter,0,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,
over_driven_sorter,1,3.011429,0.475489,2.535940,0.633985,0.475489,0.158496,0.750000,0.750000,2.000000,1.356780,0.475489,0.000000,0.158496
over_driven_sorter,2,2.778289,0.808331,1.969958,0.565982,0.332842,0.233140,0.588079,0.673627,2.000000,1.214133,0.808331,0.000000,0.233140
over_driven_sorter,3,2.499589,1.037709,1.461880,0.508078,0.229378,0.278699,0.451463,0.607542,2.000000,1.104910,1.037709,0.000000,0.278699
