resolution,slots,capacity_bits,emit_prob,contraction_rate,contraction_total_bits,sorted_total_bits,destroyed_total_bits,sorting_efficiency,final_exported_bits,final_retained_bits
flag,1,1.0,0.1,0.05,1.659763,0.0,1.659763,0.0,-0.0,1.510162
flag,1,1.0,0.1,0.1625,3.020331,0.0,3.020331,0.0,-0.0,0.149594
flag,1,1.0,0.1,0.275,3.162098,0.0,3.162098,0.0,-0.0,0.007827
flag,1,1.0,0.1,0.3875,3.169713,0.0,3.169713,0.0,-0.0,0.000212
flag,1,1.0,0.1,0.5,3.169923,0.0,3.169923,0.0,-0.0,2e-06
flag,1,1.0,0.1,0.6125,3.169925,0.0,3.169925,0.0,-0.0,0.0
flag,1,1.0,0.1,0.725,3.169925,0.0,3.169925,0.0,0.0,0.0
flag,1,1.0,0.1,0.8375,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,0.1,0.95,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,0.4,0.05,1.659763,0.0,1.659763,0.0,0.0,1.510162
flag,1,1.0,0.4,0.1625,3.020331,0.0,3.020331,0.0,0.0,0.149594
flag,1,1.0,0.4,0.275,3.162098,0.0,3.162098,0.0,-0.0,0.007827
flag,1,1.0,0.4,0.3875,3.169713,0.0,3.169713,0.0,-0.0,0.000212
flag,1,1.0,0.4,0.5,3.169923,0.0,3.169923,0.0,0.0,2e-06
flag,1,1.0,0.4,0.6125,3.169925,0.0,3.169925,0.0,0.0,0.0
flag,1,1.0,0.4,0.725,3.169925,0.0,3.169925,0.0,-0.0,0.0
flag,1,1.0,0.4,0.8375,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,0.4,0.95,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,0.7,0.05,1.659763,0.0,1.659763,0.0,0.0,1.510162
flag,1,1.0,0.7,0.1625,3.020331,0.0,3.020331,0.0,-0.0,0.149594
flag,1,1.0,0.7,0.275,3.162098,0.0,3.162098,0.0,0.0,0.007827
flag,1,1.0,0.7,0.3875,3.169713,0.0,3.169713,0.0,0.0,0.000212
flag,1,1.0,0.7,0.5,3.169923,0.0,3.169923,0.0,0.0,2e-06
flag,1,1.0,0.7,0.6125,3.169925,0.0,3.169925,0.0,0.0,0.0
flag,1,1.0,0.7,0.725,3.169925,0.0,3.169925,0.0,0.0,0.0
flag,1,1.0,0.7,0.8375,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,0.7,0.95,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,1.0,0.05,1.659763,0.0,1.659763,0.0,0.0,1.510162
flag,1,1.0,1.0,0.1625,3.020331,0.0,3.020331,0.0,0.0,0.149594
flag,1,1.0,1.0,0.275,3.162098,0.0,3.162098,0.0,0.0,0.007827
flag,1,1.0,1.0,0.3875,3.169713,0.0,3.169713,0.0,0.0,0.000212
flag,1,1.0,1.0,0.5,3.169923,0.0,3.169923,0.0,0.0,2e-06
flag,1,1.0,1.0,0.6125,3.169925,0.0,3.169925,0.0,0.0,0.0
flag,1,1.0,1.0,0.725,3.169925,0.0,3.169925,0.0,0.0,0.0
flag,1,1.0,1.0,0.8375,3.169925,0.0,3.169925,0.0,0.0,-0.0
flag,1,1.0,1.0,0.95,3.169925,0.0,3.169925,0.0,0.0,-0.0
sector,3,2.0,0.1,0.05,2.623588,1.36679,1.256798,0.520962,1.36679,0.546337
sector,3,2.0,0.1,0.1625,3.137312,1.021353,2.11596,0.32555,1.021353,0.032613
sector,3,2.0,0.1,0.275,3.168652,0.780781,2.387871,0.246408,0.780781,0.001273
sector,3,2.0,0.1,0.3875,3.169897,0.62768,2.542217,0.198013,0.62768,2.8e-05
sector,3,2.0,0.1,0.5,3.169925,0.523955,2.64597,0.165289,0.523955,0.0
sector,3,2.0,0.1,0.6125,3.169925,0.449375,2.72055,0.141762,0.449375,0.0
sector,3,2.0,0.1,0.725,3.169925,0.393262,2.776663,0.12406,0.393262,0.0
sector,3,2.0,0.1,0.8375,3.169925,0.349549,2.820376,0.110271,0.349549,0.0
sector,3,2.0,0.1,0.95,3.169925,0.314551,2.855374,0.09923,0.314551,0.0
sector,3,2.0,0.4,0.05,2.707128,1.577243,1.129885,0.582626,1.577243,0.462797
sector,3,2.0,0.4,0.1625,3.147452,1.524087,1.623365,0.484229,1.524087,0.022473
sector,3,2.0,0.4,0.275,3.16922,1.449789,1.719431,0.457459,1.449789,0.000705
sector,3,2.0,0.4,0.3875,3.169913,1.3708,1.799113,0.432441,1.3708,1.2e-05
sector,3,2.0,0.4,0.5,3.169925,1.293847,1.876078,0.408163,1.293847,0.0
sector,3,2.0,0.4,0.6125,3.169925,1.221569,1.948356,0.385362,1.221569,0.0
sector,3,2.0,0.4,0.725,3.169925,1.154808,2.015117,0.364301,1.154808,0.0
sector,3,2.0,0.4,0.8375,3.169925,1.093606,2.076319,0.344994,1.093606,0.0
sector,3,2.0,0.4,0.95,3.169925,1.037663,2.132262,0.327346,1.037663,-0.0
sector,3,2.0,0.7,0.05,2.707133,1.584265,1.122868,0.585219,1.584265,0.462792
sector,3,2.0,0.7,0.1625,3.147452,1.578244,1.569209,0.501435,1.578244,0.022473
sector,3,2.0,0.7,0.275,3.16922,1.567344,1.601876,0.494552,1.567344,0.000705
sector,3,2.0,0.7,0.3875,3.169913,1.552814,1.617099,0.48986,1.552814,1.2e-05
sector,3,2.0,0.7,0.5,3.169925,1.535604,1.634321,0.484429,1.535604,0.0
sector,3,2.0,0.7,0.6125,3.169925,1.516443,1.653482,0.478384,1.516443,0.0
sector,3,2.0,0.7,0.725,3.169925,1.495894,1.674031,0.471902,1.495894,0.0
sector,3,2.0,0.7,0.8375,3.169925,1.474391,1.695534,0.465119,1.474391,0.0
sector,3,2.0,0.7,0.95,3.169925,1.452273,1.717652,0.458141,1.452273,0.0
sector,3,2.0,1.0,0.05,2.707133,1.584963,1.122171,0.585476,1.584963,0.462792
sector,3,2.0,1.0,0.1625,3.147452,1.584963,1.56249,0.50357,1.584963,0.022473
sector,3,2.0,1.0,0.275,3.16922,1.584963,1.584258,0.500111,1.584963,0.000705
sector,3,2.0,1.0,0.3875,3.169913,1.584963,1.58495,0.500002,1.584963,1.2e-05
sector,3,2.0,1.0,0.5,3.169925,1.584963,1.584962,0.5,1.584963,0.0
sector,3,2.0,1.0,0.6125,3.169925,1.584963,1.584963,0.5,1.584963,0.0
sector,3,2.0,1.0,0.725,3.169925,1.584963,1.584963,0.5,1.584963,0.0
sector,3,2.0,1.0,0.8375,3.169925,1.584963,1.584963,0.5,1.584963,0.0
sector,3,2.0,1.0,0.95,3.169925,1.584963,1.584963,0.5,1.584963,0.0
microstate,9,3.321928,0.1,0.05,2.894364,2.135238,0.759126,0.737723,2.135238,0.275561
microstate,9,3.321928,0.1,0.1625,3.130227,1.285823,1.844404,0.410776,1.285823,0.039698
microstate,9,3.321928,0.1,0.275,3.167598,0.912176,2.255422,0.287971,0.912176,0.002327
microstate,9,3.321928,0.1,0.3875,3.169858,0.70639,2.463469,0.222846,0.70639,6.7e-05
microstate,9,3.321928,0.1,0.5,3.169924,0.57635,2.593574,0.181818,0.57635,1e-06
microstate,9,3.321928,0.1,0.6125,3.169925,0.486745,2.68318,0.153551,0.486745,0.0
microstate,9,3.321928,0.1,0.725,3.169925,0.421252,2.748673,0.13289,0.421252,0.0
microstate,9,3.321928,0.1,0.8375,3.169925,0.371294,2.798631,0.11713,0.371294,-0.0
microstate,9,3.321928,0.1,0.95,3.169925,0.331929,2.837996,0.104712,0.331929,-0.0
microstate,9,3.321928,0.4,0.05,3.133385,2.948763,0.184621,0.941079,2.948763,0.03654
microstate,9,3.321928,0.4,0.1625,3.163384,2.548683,0.614701,0.805682,2.548683,0.006541
microstate,9,3.321928,0.4,0.275,3.169524,2.244195,0.925329,0.708054,2.244195,0.000401
microstate,9,3.321928,0.4,0.3875,3.169913,2.004696,1.165218,0.632413,2.004696,1.2e-05
