round,data_idle_p0,data_idle_p1,data_idle_p2,data_gate_p0,data_gate_p1,data_gate_p2,data_idle_z_p0,data_idle_z_p1,data_idle_z_p2,data_gate_z_p0,data_gate_z_p1,data_gate_z_p2,ancilla_gate,prep_error,meas_error,leakage_error,correlated_gate,correlated_phase,data_crosstalk,data_crosstalk_z,correction_error,correction_phase_error,decoder_proxy_p0,decoder_proxy_p1,decoder_proxy_p2,decoder_proxy_meas,calib_p0,calib_p1,calib_p2,calib_meas,calibration_fresh,calibration_period,calibration_phase,source
0,0.0016418604695745192,4.069765212740292e-06,4.069765212740282e-06,0.005671881622166521,1.407571691603183e-05,1.4069289360751323e-05,0.0007914982509517027,4.062056961133213e-05,0.0014178811794369652,0.001266403629078005,6.49929113781314e-05,0.0022686144782100588,0.0015000006197999733,0.0011000002020088802,0.013924480665636821,0.0003000017446221475,0.0002500146915549268,0.0001800073457774634,0.00020001193688837801,0.00016000550933309755,0.0008000002203733239,0.0002500000573888864,0.009578389440585977,0.0005362392521371939,0.000672092814024472,0.018597372911830536,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,1,4,0,synthetic_h2_circuit_trace
1,0.001641219910451243,5.749976619795216e-06,3.0301129289619134e-06,0.005714634188283607,1.9890805347732625e-05,1.048431547177372e-05,0.000976902926231846,4.0718517812616304e-05,0.001232378555955538,0.001563055279096761,6.514962850018608e-05,0.0019718132589044376,0.0015000010218657028,0.0011000003330525255,0.014039714496726745,0.00030000287636271916,0.00025002422200184573,0.00018001211100092287,0.00020001968037649964,0.00016000908325069217,0.0008000003633300278,0.00025000009461719467,0.00961972794332322,0.0005512409700225707,0.0006664572813264158,0.018712063304277275,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,0,4,0,synthetic_h2_circuit_trace
2,0.001639101687634418,8.519401709431364e-06,2.378910656150905e-06,0.005751969661253847,2.9475177652787112e-05,8.245259950768434e-06,0.001171025180720817,4.073568821829494e-05,0.001038239131060888,0.0018736576013985388,6.51771011492719e-05,0.0016611949755868717,0.0015000016693950758,0.0011000005440991358,0.014146030582327046,0.00030000469903799143,0.0002500395708462438,0.0001800197854231219,0.00020003215131257307,0.00016001483906734142,0.0008000005935626936,0.0002500001545736181,0.009652754254137808,0.000575965839969883,0.0006629584235791075,0.018817891875835928,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,0,4,0,synthetic_h2_circuit_trace
3,0.0016348401797550113,1.3187195467926319e-05,1.9726247770626533e-06,0.005781218989595264,4.562782980291196e-05,6.858560848838386e-06,0.0013606352377096877,4.065513540028974e-05,0.0008487096268900226,0.0021770444050847717,6.504821664046358e-05,0.0013579554207020874,0.001500002702386537,0.0011000008807778344,0.01424296483332578,0.0003000076067176595,0.00025006405656976416,0.00018003202828488209,0.0002000520459629334,0.00016002402121366156,0.0008000009608485465,0.00025000025022097567,0.009673498121833268,0.000617632148698255,0.0006608248427231178,0.018914403825691015,0.009745160453584601,0.0007922497228470254,1e-07,0.01970688818437805,0,4,0,synthetic_h2_circuit_trace
4,0.0016270442706418787,2.122683127232877e-05,1.728898085792414e-06,0.005797062375450499,7.344464543262854e-05,6.0431965464476755e-06,0.0015336753199415398,4.056340105088541e-05,0.0006757612790075752,0.002453925464330064,6.490144168141665e-05,0.0010812501552861207,0.0015000043346979903,0.001100001412790456,0.01433009461027692,0.00030001220137212015,0.0002501027483968017,0.00018005137419840086,0.00020008348307240138,0.00016003853064880063,0.000800001541225952,0.000250000401360925,0.009673913998168082,0.0006893791259307003,0.0006596244002674556,0.01900118930226191,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,1,4,0,synthetic_h2_circuit_trace
5,0.0016130733434162614,3.5325986603573054e-05,1.6006699801657533e-06,0.005789559196009212,0.0001222189487970082,5.641861972615314e-06,0.0016821301991672558,4.062599257534807e-05,0.0005272438082573964,0.002691479766247504,6.50015881205569e-05,0.0008436411271974734,0.0015000068895880613,0.001100002245495368,0.0144070407768438,0.00030001939291454286,0.00025016330875404563,0.00018008165437702282,0.00020013268836266207,0.00016006124078276712,0.0008000024496313107,0.00025000063792482045,0.00963888050354711,0.0008151628411776635,0.0006591259413849526,0.019077887228160794,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,0,4,0,synthetic_h2_circuit_trace
6,0.0015881138875462697,6.0324625143316426e-05,1.5614873104138568e-06,0.005740661559173448,0.00020868350688612688,5.571052240596791e-06,0.0018029353396120038,4.105085719525093e-05,0.0004060138031927453,0.002884809067329254,6.568137151240149e-05,0.0006497024593584271,0.001500010850523755,0.0011000035364670015,0.014473469651651754,0.00030003054221501314,0.00025025719760011085,0.00018012859880005543,0.00020020897305009005,0.00016009644910004159,0.0008000038579640017,0.0002500010046781254,0.00954089566658034,0.0010381012921052424,0.0006592232138958876,0.019144189789457405,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,0,4,0,synthetic_h2_circuit_trace
7,0.0015438005268818447,0.00010460351022093592,1.5959628972195057e-06,0.005618947783379302,0.00036180912459724804,5.7892698263330485e-06,0.0018970551145650184,4.206233090713957e-05,0.0003108825545278421,0.0030354637836839237,6.72997294514233e-05,0.0004975375160873293,0.0015000169328937755,0.0011000055188690825,0.01452909488301281,0.0003000476629602571,0.0002504013722969021,0.00018020068614845106,0.000200326114991233,0.00016015051461133831,0.0008000060205844535,0.0002500015678605348,0.00933208862579471,0.0014328051587807478,0.0006598884865375299,0.019199847896480857,0.009879507291240479,0.0007081552487659493,0.0007809474259381584,0.021081665868390855,0,4,0,synthetic_h2_circuit_trace
8,0.00146687952901193,0.00018142932948969628,1.691141498373822e-06,0.005374343997331937,0.0006274541034340186,6.268826129853048e-06,0.0019677741376673695,4.3896745602979586e-05,0.0002383291167296512,0.003148710157238297,7.023479296476733e-05,0.0003815205417463749,0.001500026183922156,0.001100008534019073,0.014573679281156132,0.0003000737028919945,0.00025062065593258555,0.00018031032796629278,0.00020050428294522576,0.0001602327459747196,0.0008000093098389888,0.00025000242443723664,0.008936283414987534,0.002117253233547167,0.0006611333263938368,0.019244678016644926,0.009089540399784796,0.0010553002044482267,0.0013556435746067868,0.0189209341390818,1,4,0,synthetic_h2_circuit_trace
9,0.001340140579119061,0.00030803357908706046,1.8258417938787347e-06,0.004941081339471394,0.0010651858679606423,6.9612613730278235e-06,0.0020191428241370353,4.681850412046823e-05,0.0001840386717424962,0.003231044578194061,7.490960659274916e-05,0.0002947590601985689,0.0015000401200304277,0.0011000130761580653,0.014607036654476175,0.00030011293045601844,0.0002509509933138399,0.00018047549665691995,0.00020077268206749493,0.00016035662249268997,0.0008000142648997077,0.00025000371481763217,0.008253725166620929,0.0032443598527013284,0.0006629612825014286,0.01927857088979786,0.009089540399784796,0.0010553002044482267,0.0013556435746067868,0.0189209341390818,0,4,0,synthetic_h2_circuit_trace
