round,channel_p0,channel_p1,channel_p2,channel_meas,calib_p0,calib_p1,calib_p2,calib_meas,calibration_fresh,syndrome_rate_01,syndrome_rate_12,source
0,0.028481290117015196,0.003759354941987726,0.003759354941764827,0.014427054196902482,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,1,0.04925,0.02125,synthetic_h1_trace
1,0.028787792827848623,0.004159033286044574,0.0034287301511236267,0.014538291055825712,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.04475,0.02175,synthetic_h1_trace
2,0.0289478477194849,0.004639055896082759,0.0031570704164531056,0.014638429909742083,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.04575,0.0235,synthetic_h1_trace
3,0.028950828656302947,0.005211682030202612,0.0029355406559825265,0.014727033617522122,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.05375,0.025,synthetic_h1_trace
4,0.028784359322713705,0.005889641327865912,0.002756496614722902,0.014803715870010184,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.04775,0.02475,synthetic_h1_trace
5,0.02843533474153467,0.006685286770073433,0.002613361475451953,0.014868143068393019,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.0495,0.02275,synthetic_h1_trace
6,0.027891489752301896,0.00760933618582356,0.002500480975201454,0.014920036053719042,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.0465,0.02375,synthetic_h1_trace
7,0.027143515790454924,0.008669201313165807,0.0024129859847942417,0.014959171710398114,0.027728796793657313,0.003514079133974574,0.004411996862007589,0.015521380396595235,0,0.046,0.0275,synthetic_h1_trace
8,0.02618760173329754,0.009867015751083296,0.00234668380610792,0.014985384476120286,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,1,0.04975,0.02675,synthetic_h1_trace
9,0.025028087176918665,0.01119762963168294,0.002297992579774151,0.014998567801810182,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0,0.052,0.0265,synthetic_h1_trace
10,0.02367971101183441,0.012647000685675489,0.002263925163935657,0.014998675617827854,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0,0.05,0.02875,synthetic_h1_trace
11,0.022168805398437928,0.014191503162737307,0.0022421185894262088,0.014985723876237745,0.02935777018470402,0.009719428450449041,0.0015850351484080847,0.011745980847308731,0,0.04575,0.03075,synthetic_h1_trace
