extraction_scale,window_start,contraction_bits,sorted_bits,destroyed_bits,chi,chi_sector
0.25,0,2.00157,1.949701,0.051868,0.974086,0.974851
0.25,44,2.263476,1.59707,0.666406,0.705583,0.798535
0.5,0,2.001727,1.941149,0.060578,0.969737,0.970574
0.5,44,2.277646,1.570236,0.70741,0.689412,0.785118
1.0,0,2.001949,1.928762,0.073187,0.963442,0.964382
1.0,44,2.298668,1.526773,0.771895,0.664199,0.763386
2.0,0,2.002238,1.909602,0.092635,0.953734,0.954827
2.0,44,2.328558,1.456069,0.872489,0.625309,0.728035
4.0,0,2.001481,1.875249,0.126232,0.936931,0.938268
4.0,44,2.370466,1.335721,1.034745,0.563485,0.667877
