protocol,window_start,window_length,updates_in_window,contraction_bits,sorted_bits,destroyed_bits,chi,chi_resolution_ceiling,sector_contraction_bits,sector_sorted_bits,sector_destroyed_bits,chi_sector,final_retained_bits,final_protected_retained_bits,max_protected_leakage_bits,max_identity_residual,max_sigma_minus_gamma,max_sigma_minus_record_entropy,peak_record_entropy_over_capacity,peak_contraction_over_capacity,window_chi_ceiling,max_bandwidth_violation,bandwidth_limited_steps
uniform_decoder,0,8,0.0,2.001949,1.928762,0.073187,0.963442,0.666667,1.999998,1.928762,0.071236,0.964382,0.998051,0.998049,0.0,0.000e+00,-2.759e-04,-2.788e-01,1.0,0.889849,0.999026,0.000e+00,0
uniform_decoder,44,8,0.0,2.298668,1.526773,0.771895,0.664199,0.666667,2.0,1.526773,0.473227,0.763386,0.701332,0.701332,0.0,0.000e+00,-4.048e-02,-5.771e-01,1.0,0.933529,0.870069,0.000e+00,0
uniform_decoder,52,8,0.0,2.398183,1.3478,1.050383,0.562009,0.666667,2.0,1.3478,0.6522,0.6739,0.601817,0.601817,0.0,0.000e+00,-3.767e-02,-7.399e-01,1.0,0.949635,0.833965,0.000e+00,0
uniform_decoder,60,8,0.0,2.284039,1.375412,0.908627,0.602184,0.666667,2.0,1.375412,0.624588,0.687706,0.715961,0.715961,0.0,0.000e+00,-1.994e-02,-7.133e-01,1.0,0.948655,0.875642,0.000e+00,0
uniform_decoder,72,8,0.0,2.045279,1.708045,0.337234,0.835116,0.666667,2.0,1.708045,0.291954,0.854023,0.954721,0.954721,0.0,0.000e+00,-2.817e-03,-4.164e-01,1.0,0.924828,0.977862,0.000e+00,0
uniform_decoder,88,8,0.0,2.002772,1.922326,0.080446,0.959833,0.666667,1.999989,1.922326,0.077663,0.961168,0.997228,0.997217,0.0,0.000e+00,-3.429e-04,-3.123e-01,1.0,0.877388,0.998616,0.000e+00,0
static_tailored,0,8,0.0,2.0019,1.9302,0.0717,0.964184,0.666667,1.999998,1.9302,0.069798,0.965101,0.9981,0.998098,0.0,0.000e+00,-2.740e-04,-2.788e-01,1.0,0.889085,0.999051,0.000e+00,0
static_tailored,44,8,0.0,2.298354,1.527153,0.771201,0.664455,0.666667,2.0,1.527153,0.472847,0.763577,0.701646,0.701646,0.0,0.000e+00,-4.048e-02,-5.771e-01,1.0,0.933149,0.870188,0.000e+00,0
static_tailored,52,8,0.0,2.397844,1.348088,1.049756,0.562208,0.666667,2.0,1.348088,0.651912,0.674044,0.602156,0.602156,0.0,0.000e+00,-3.768e-02,-7.399e-01,1.0,0.94926,0.834082,0.000e+00,0
static_tailored,60,8,0.0,2.283687,1.37571,0.907977,0.602407,0.666667,2.0,1.37571,0.62429,0.687855,0.716313,0.716313,0.0,0.000e+00,-1.993e-02,-7.133e-01,1.0,0.948269,0.875777,0.000e+00,0
