metric,value
grid_points,12726
max_otherness_score,1.402845
max_score_p_noise,0.180000
max_score_centrality,0.000000
max_score_syndrome_mi_bits,1.692360
max_score_logical_coherence,1.000000
max_score_regime,otherness_preserving
p_mid,0.080000
p_mid_absent_bit_fidelity,0.778688
p_mid_restrained_bit_fidelity,0.981824
p_mid_central_bit_fidelity,0.981824
p_mid_absent_logical_coherence,0.779200
p_mid_restrained_logical_coherence,1.000000
p_mid_central_logical_coherence,0.000000
count_abandonment_no_syndrome,101
count_centralized,8250
count_otherness_preserving,4118
count_transition,257
