kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score,budget
0.120323,0.0,1,48,0.9999,0.000399,0.696373,0.001294,0.003002,0.0,0.0,0.35
0.120323,1.65,1,48,0.999969,0.000122,0.709277,0.00491,0.00028,0.128416,0.000447,0.35
0.120323,3.3,1,48,1.0,2e-06,0.701223,0.019014,0.004456,0.154388,0.00204,0.35
0.169545,0.0,2,24,0.999977,9.3e-05,0.701151,0.003687,0.000552,0.0,0.0,0.35
0.169545,1.65,2,24,0.999936,0.000256,0.701436,0.003984,0.001402,0.0,0.0,0.35
0.169545,3.3,2,24,0.999938,0.000248,0.694577,0.004767,2e-05,0.075775,0.000251,0.35
0.206898,0.0,3,16,0.999671,0.001314,0.712555,0.001494,7.8e-05,0.0,0.0,0.35
0.206898,1.65,3,16,0.999869,0.000524,0.720361,9.5e-05,0.000116,0.0,0.0,0.35
0.206898,3.3,3,16,0.999263,0.002946,0.691051,0.003161,0.006009,0.0,0.0,0.35
0.238043,0.0,4,12,0.999645,0.001421,0.690931,0.001385,0.002543,0.035008,3.3e-05,0.35
0.238043,1.65,4,12,0.999454,0.002184,0.698986,0.003427,0.001828,0.0,0.0,0.35
0.238043,3.3,4,12,0.999918,0.000327,0.715409,0.000488,0.003433,0.0,0.0,0.35
0.28945,0.0,6,8,0.99959,0.001641,0.700717,0.000636,0.003254,0.082772,3.7e-05,0.35
0.28945,1.65,6,8,0.999085,0.003655,0.70796,0.003927,0.002434,0.050383,0.000139,0.35
0.28945,3.3,6,8,0.999925,0.0003,0.72379,0.001729,0.003657,0.08997,0.000112,0.35
0.331841,0.0,8,6,0.998653,0.00538,0.713977,0.001155,0.001674,0.0,0.0,0.35
0.331841,1.65,8,6,0.999429,0.002285,0.717853,0.000291,0.002956,0.0,0.0,0.35
0.331841,3.3,8,6,0.996414,0.014291,0.697483,0.000416,0.002248,0.0,0.0,0.35
0.400678,0.0,12,4,0.996276,0.014839,0.714513,0.003202,0.002461,0.015599,3.6e-05,0.35
0.400678,1.65,12,4,0.994985,0.019958,0.700927,0.004855,0.000638,0.051995,0.000177,0.35
0.400678,3.3,12,4,0.995397,0.018329,0.729573,0.002653,0.002303,0.10919,0.00021,0.35
0.169545,0.0,1,48,0.999938,0.000247,0.502973,0.002989,0.001766,0.078847,0.000118,0.7
0.169545,1.65,1,48,0.999995,2.1e-05,0.501953,0.035607,0.000822,0.064511,0.001151,0.7
0.169545,3.3,1,48,0.999521,0.001914,0.509784,0.031569,0.001208,0.368634,0.005918,0.7
0.238043,0.0,2,24,0.999992,3e-05,0.529285,1.1e-05,0.009555,0.0,0.0,0.7
0.238043,1.65,2,24,0.999899,0.000405,0.505934,0.018367,0.000761,0.0,0.0,0.7
0.238043,3.3,2,24,0.999886,0.000455,0.540217,0.018463,0.003105,0.0,0.0,0.7
0.28945,0.0,3,16,0.99999,4.1e-05,0.524196,0.001674,0.000127,0.044985,3.9e-05,0.7
0.28945,1.65,3,16,0.999387,0.002451,0.499718,7.4e-05,0.002027,0.0,0.0,0.7
0.28945,3.3,3,16,0.999737,0.001053,0.482164,0.005411,0.000743,0.0,0.0,0.7
0.331841,0.0,4,12,0.999249,0.003001,0.483456,0.005024,0.003251,0.0,0.0,0.7
0.331841,1.65,4,12,0.998941,0.004233,0.486068,0.00563,2.2e-05,0.0,0.0,0.7
0.331841,3.3,4,12,0.999429,0.002281,0.505944,0.009617,0.004037,0.0,0.0,0.7
0.400678,0.0,6,8,0.998611,0.005547,0.488274,0.000389,0.000187,0.018198,3e-06,0.7
0.400678,1.65,6,8,0.999336,0.002653,0.500667,0.001994,0.006397,0.007799,8e-06,0.7
0.400678,3.3,6,8,0.997747,0.008992,0.506566,0.001161,0.000789,0.0,0.0,0.7
0.456191,0.0,8,6,0.998421,0.006305,0.479116,5.6e-05,0.000105,0.173538,5e-06,0.7
0.456191,1.65,8,6,0.999226,0.003093,0.503122,0.006496,0.00227,0.130915,0.000426,0.7
0.456191,3.3,8,6,0.996304,0.014731,0.507256,0.002454,0.000265,0.0,0.0,0.7
0.543426,0.0,12,4,0.997949,0.008187,0.515518,0.000464,0.001447,0.157182,3.8e-05,0.7
0.543426,1.65,12,4,0.99098,0.035754,0.485574,3.9e-05,0.000364,0.080508,2e-06,0.7
0.543426,3.3,12,4,0.994575,0.021584,0.489868,0.000407,0.00174,0.053672,1.1e-05,0.7
0.206898,0.0,1,48,0.999994,2.3e-05,0.312732,0.002256,0.000596,0.041117,2.9e-05,1.05
0.206898,1.65,1,48,0.999934,0.000263,0.336471,0.040511,0.001223,0.082233,0.001118,1.05
0.206898,3.3,1,48,0.999587,0.00165,0.361444,0.060515,0.00232,0.318864,0.006942,1.05
0.28945,0.0,2,24,0.999942,0.00023,0.339347,0.003885,0.000614,0.0,0.0,1.05
0.28945,1.65,2,24,0.999946,0.000217,0.353138,0.005082,0.000928,0.041986,7.5e-05,1.05
0.28945,3.3,2,24,0.999942,0.000233,0.343422,0.024845,0.010071,0.026391,0.000221,1.05
0.350716,0.0,3,16,0.999943,0.000228,0.348281,0.011803,0.006905,0.0,0.0,1.05
0.350716,1.65,3,16,0.999846,0.000616,0.359471,0.014264,0.001109,0.0,0.0,1.05
0.350716,3.3,3,16,0.999613,0.001546,0.348473,0.011727,0.002981,0.0,0.0,1.05
0.400678,0.0,4,12,0.998954,0.004181,0.339381,0.007952,0.001442,0.043329,0.000117,1.05
0.400678,1.65,4,12,0.999769,0.000926,0.351029,0.001414,0.000414,0.0,0.0,1.05
0.400678,3.3,4,12,0.999876,0.000497,0.360304,0.002248,0.002605,0.029464,2.4e-05,1.05
0.480493,0.0,6,8,0.999159,0.003361,0.352464,0.002389,0.003375,0.021679,1.8e-05,1.05
0.480493,1.65,6,8,0.998942,0.004229,0.361286,0.00809,0.002869,0.130075,0.000378,1.05
0.480493,3.3,6,8,0.999202,0.00319,0.355499,0.000506,0.000193,0.069373,1.2e-05,1.05
0.543426,0.0,8,6,0.99879,0.004835,0.348763,0.001517,0.009427,0.125234,6.5e-05,1.05
0.543426,1.65,8,6,0.995852,0.016524,0.349569,0.00114,0.002148,0.010223,4e-06,1.05
0.543426,3.3,8,6,0.997567,0.009707,0.372857,0.002585,0.000616,0.033225,3.2e-05,1.05
0.639097,0.0,12,4,0.987697,0.048606,0.340967,0.000693,0.002753,0.136912,3.2e-05,1.05
0.639097,1.65,12,4,0.984187,0.062252,0.349633,0.001931,0.001225,0.065196,4.4e-05,1.05
0.639097,3.3,12,4,0.986856,0.051885,0.35708,0.000471,0.003411,0.068456,1.1e-05,1.05
0.238043,0.0,1,48,0.999949,0.000202,0.239494,0.007248,0.004338,0.0,0.0,1.4
0.238043,1.65,1,48,0.999771,0.000914,0.264462,0.030627,0.004521,0.141489,0.001136,1.4
0.238043,3.3,1,48,0.999624,0.001505,0.227764,0.064292,0.003607,0.342054,0.004973,1.4
0.331841,0.0,2,24,0.999708,0.001167,0.261356,0.001432,0.003496,0.0,0.0,1.4
0.331841,1.65,2,24,0.9997,0.0012,0.238784,0.01837,0.000436,0.0,0.0,1.4
