p_flip,policy,logical_retention,sign_fidelity,flip_id_mi_bits,logical_leak_bits,mean_corrections
0.0,bare,0.320885,1.0,0.0,0.000693,0.0
0.0,code_unchecked,0.250299,1.0,0.0,0.004947,0.0
0.0,code_checked,0.243152,1.0,0.0,0.002053,0.24
0.0,code_overactive,0.12716,0.773333,0.0,0.000818,5.915
0.005,bare,0.217429,0.843333,0.0,0.001869,0.0
0.005,code_unchecked,0.205527,0.951667,0.801888,0.000221,0.0
0.005,code_checked,0.22332,0.963333,0.029688,0.00048,0.793333
0.005,code_overactive,0.111776,0.761667,0.009539,0.001429,6.47
0.01,bare,0.132556,0.711667,0.0,0.000602,0.0
0.01,code_unchecked,0.1273,0.826667,0.552188,0.002546,0.0
0.01,code_checked,0.194679,0.918333,0.038087,0.006029,1.166667
0.01,code_overactive,0.100783,0.708333,0.005884,0.000151,6.838333
0.02,bare,0.074113,0.625,0.0,4e-06,0.0
0.02,code_unchecked,0.052449,0.645,0.152627,0.000648,0.0
0.02,code_checked,0.139905,0.78,0.013312,0.000784,1.708333
0.02,code_overactive,0.06482,0.641667,0.014188,0.000392,7.448333
0.04,bare,0.02004,0.528333,0.0,0.002226,0.0
0.04,code_unchecked,0.028667,0.558333,0.018719,0.000147,0.0
0.04,code_checked,0.031704,0.591667,0.005792,0.000132,2.573333
0.04,code_overactive,9.8e-05,0.518333,0.007897,0.000462,8.575
0.08,bare,0.032883,0.545,0.0,0.00031,0.0
0.08,code_unchecked,0.004797,0.521667,0.004625,0.005276,0.0
0.08,code_checked,0.0,0.498333,0.006279,0.000451,3.281667
0.08,code_overactive,0.004544,0.506667,0.007427,0.001879,10.243333
