instrument,mu,n_measurements,epsilon,clock_info_bits,prop5_bound_bits,bound_satisfied
conjugated,0.0,1,0.0,0.0,0.0,True
conjugated,0.0,8,0.0,0.0,0.0,True
conjugated,0.05,1,0.03161,0.0,0.408186,True
conjugated,0.05,8,0.03161,0.0,4.0,True
conjugated,0.1,1,0.06314,0.0,0.688437,True
conjugated,0.1,8,0.06314,0.0,4.0,True
conjugated,0.2,1,0.12565,0.0,1.10434,True
conjugated,0.2,8,0.12565,0.0,4.0,True
conjugated,0.4,1,0.24629,0.0,4.0,True
conjugated,0.4,8,0.24629,0.0,4.0,True
axis_leak,0.0,1,0.0,0.0,0.0,True
axis_leak,0.0,8,0.0,0.0,0.0,True
axis_leak,0.05,1,0.037479,0.00050635,0.465598,True
axis_leak,0.05,8,0.037479,0.0040262,4.0,True
axis_leak,0.1,1,0.074835,0.0020153,0.778144,True
axis_leak,0.1,8,0.074835,0.0157439,4.0,True
axis_leak,0.2,1,0.14867,0.00790174,1.223215,True
axis_leak,0.2,8,0.14867,0.05793299,4.0,True
axis_leak,0.4,1,0.289043,0.02919485,4.0,True
axis_leak,0.4,8,0.289043,0.17664797,4.0,True
