kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score,mode,lab_periods
0.21,3.3,1,32,0.998883,0.004463,0.478681,0.019956,0.000751,0.422867,0.004033,co_clocked,16
0.21,3.3,2,32,0.999413,0.002348,0.491586,0.044349,0.003593,0.379464,0.008213,co_clocked,32
0.21,3.3,3,32,0.999684,0.001262,0.485539,0.057489,0.000844,0.345982,0.009641,co_clocked,48
0.21,3.3,4,32,0.999675,0.001301,0.483692,0.079012,0.001311,0.281498,0.01073,co_clocked,64
0.21,3.3,6,32,0.999267,0.00293,0.49379,0.021513,0.003569,0.442708,0.004669,co_clocked,96
0.21,3.3,1,32,0.999306,0.002773,0.458311,0.05303,0.004866,0.363343,0.008745,lab_clocked,16
0.21,3.3,2,32,1.0,2e-06,0.474917,0.007679,0.006913,0.0,0.0,lab_clocked,32
0.21,3.3,3,32,0.999952,0.000193,0.464832,0.001056,0.003739,0.026042,1.3e-05,lab_clocked,48
0.21,3.3,4,32,0.999993,2.8e-05,0.469656,0.004012,0.000483,0.0,0.0,lab_clocked,64
0.21,3.3,6,32,0.999814,0.000742,0.481613,0.000275,0.003934,0.0,0.0,lab_clocked,96
