kappa,gain,every_k,n_ticks,clock_slack_bits,slack_gate,memory_retention,error_info_bits,logical_leak_bits,phase_lock,braid_score
0.05,0.0,1,48,0.999989,4.3e-05,0.946078,0.002824,0.000126,0.361111,0.000964
0.05,0.3,1,48,1.0,0.0,0.927293,0.002749,0.006724,0.0625,0.000157
0.05,0.6,1,48,0.999889,0.000444,0.941133,0.000205,0.000857,0.013889,3e-06
0.05,0.9,1,48,0.999961,0.000156,0.939625,0.000815,7.1e-05,0.100694,7.7e-05
0.05,1.2,1,48,0.999985,5.9e-05,0.953333,0.001589,0.002074,0.0,0.0
0.05,1.5,1,48,0.999922,0.000311,0.950202,0.003546,0.001954,0.270833,0.000909
0.05,1.8,1,48,0.999971,0.000116,0.934966,0.001579,0.000324,0.0,0.0
0.05,2.1,1,48,0.99999,4e-05,0.949073,0.0,0.000474,0.208333,0.0
0.05,2.4,1,48,0.99997,0.00012,0.937987,0.000328,0.001074,0.260417,8e-05
0.05,2.7,1,48,0.999911,0.000355,0.955359,0.000905,0.000499,0.121528,0.000105
0.05,3.0,1,48,0.999998,8e-06,0.942069,7e-06,0.000746,0.0,0.0
0.05,3.3,1,48,0.999992,3e-05,0.932759,0.001224,0.001182,0.236111,0.000269
0.1318,0.0,1,48,0.999968,0.000126,0.652053,0.000112,0.004433,0.031614,2e-06
0.1318,0.3,1,48,0.999997,1.2e-05,0.645641,0.002439,0.001953,0.0,0.0
0.1318,0.6,1,48,0.999906,0.000377,0.664123,0.000281,0.000175,0.0,0.0
0.1318,0.9,1,48,0.999879,0.000486,0.66783,0.00846,0.001589,0.0,0.0
0.1318,1.2,1,48,0.999988,4.6e-05,0.671335,0.006776,0.002131,0.007903,3.6e-05
0.1318,1.5,1,48,0.999939,0.000242,0.657582,0.006892,0.004296,0.065862,0.000296
0.1318,1.8,1,48,0.999971,0.000117,0.663606,0.002005,0.001289,0.082986,0.00011
0.1318,2.1,1,48,0.999782,0.000873,0.650073,0.009744,0.001723,0.264764,0.001671
0.1318,2.4,1,48,0.999945,0.00022,0.646382,0.001189,1.7e-05,0.301646,0.000232
0.1318,2.7,1,48,0.999895,0.000421,0.656574,0.014621,0.005517,0.118551,0.001126
0.1318,3.0,1,48,0.99975,0.001001,0.624529,0.023249,0.000588,0.291108,0.004222
0.1318,3.3,1,48,0.999845,0.000621,0.652614,0.010098,0.006079,0.27135,0.001767
0.2136,0.0,1,48,0.999818,0.000729,0.312075,0.003269,0.001095,0.0,0.0
0.2136,0.3,1,48,0.999967,0.000131,0.319188,0.009624,0.001605,0.0,0.0
0.2136,0.6,1,48,0.999838,0.000648,0.323102,0.018927,0.002916,0.0,0.0
0.2136,0.9,1,48,0.999991,3.7e-05,0.325277,0.005362,0.000227,0.0,0.0
0.2136,1.2,1,48,0.999986,5.7e-05,0.335908,0.017124,0.000341,0.0,0.0
0.2136,1.5,1,48,0.99998,8.2e-05,0.318731,0.019717,0.00102,0.091032,0.000571
0.2136,1.8,1,48,0.99966,0.00136,0.318776,0.04807,0.001267,0.173936,0.002659
0.2136,2.1,1,48,0.999912,0.000353,0.294995,0.041309,0.002671,0.155242,0.001882
0.2136,2.4,1,48,0.999572,0.001711,0.309853,0.037597,0.009701,0.178,0.002033
0.2136,2.7,1,48,0.999655,0.00138,0.333333,0.043119,1.3e-05,0.273909,0.003937
0.2136,3.0,1,48,0.999718,0.001126,0.306756,0.087183,0.001009,0.230831,0.006161
0.2136,3.3,1,48,0.999473,0.002108,0.307318,0.061023,0.005604,0.344621,0.00639
0.2955,0.0,1,48,0.999986,5.6e-05,0.113978,0.014418,0.000407,0.022913,3.8e-05
0.2955,0.3,1,48,0.999975,9.9e-05,0.106882,0.011763,0.000354,0.027026,3.4e-05
0.2955,0.6,1,48,0.999919,0.000323,0.116346,0.018095,0.001721,0.0,0.0
0.2955,0.9,1,48,0.999909,0.000365,0.113939,0.05333,0.00133,0.002938,1.8e-05
0.2955,1.2,1,48,0.999986,5.6e-05,0.116416,0.044793,0.001512,0.039951,0.000208
0.2955,1.5,1,48,0.999944,0.000223,0.118115,0.057624,0.001542,0.070502,0.000478
0.2955,1.8,1,48,0.999193,0.003226,0.111825,0.072692,0.000222,0.245582,0.001995
0.2955,2.1,1,48,0.999029,0.003879,0.11197,0.083011,0.00022,0.243232,0.00226
0.2955,2.4,1,48,0.99902,0.003916,0.106265,0.095392,0.002975,0.290233,0.002925
0.2955,2.7,1,48,0.999204,0.003182,0.111671,0.126531,0.003355,0.326659,0.004585
0.2955,3.0,1,48,0.99936,0.002559,0.121628,0.108463,0.002562,0.319609,0.004195
0.2955,3.3,1,48,0.998881,0.00447,0.12407,0.08453,0.001801,0.391286,0.004089
0.3773,0.0,1,48,0.999796,0.000815,0.023344,0.013238,0.003555,0.090648,2.8e-05
0.3773,0.3,1,48,0.999969,0.000125,0.022013,0.028623,0.000598,0.017945,1.1e-05
0.3773,0.6,1,48,0.999952,0.00019,0.027468,0.0558,0.000937,0.026688,4.1e-05
