p_flip,policy,logical_retention,mean_corrections
0.0,bare,1.0,0.0
0.0,bare_monitored,0.000832,0.0
0.0,code_unchecked,1.0,0.0
0.0,code_checked,0.996667,0.115
0.0,code_overactive,0.056667,19.076667
0.005,bare,0.733333,0.0
0.005,bare_monitored,8.8e-05,0.0
0.005,code_unchecked,0.86,0.0
0.005,code_checked,0.93,0.575
0.005,code_overactive,0.0,19.46
0.01,bare,0.473333,0.0
0.01,bare_monitored,2.6e-05,0.0
0.01,code_unchecked,0.696667,0.0
0.01,code_checked,0.816667,0.903333
0.01,code_overactive,0.03,19.34
0.02,bare,0.24,0.0
0.02,bare_monitored,0.000271,0.0
0.02,code_unchecked,0.41,0.0
0.02,code_checked,0.533333,1.45
0.02,code_overactive,0.096667,19.808333
0.04,bare,0.02,0.0
0.04,bare_monitored,1e-05,0.0
0.04,code_unchecked,0.056667,0.0
0.04,code_checked,0.1,1.906667
0.04,code_overactive,0.0,20.721667
0.08,bare,0.003333,0.0
0.08,bare_monitored,5.8e-05,0.0
0.08,code_unchecked,0.03,0.0
0.08,code_checked,0.01,2.391667
0.08,code_overactive,0.0,21.421667
