metric,value
grid_points,144
best_braid_score,0.00639
best_kappa,0.2136
best_gain,3.3
best_clock_slack_bits,0.999473
best_memory_retention,0.307318
best_error_info_bits,0.061023
best_logical_leak_bits,0.005604
best_phase_lock,0.344621
weak_monitor_mean_braid,0.000214
weak_monitor_mean_error_info,0.001314
strong_monitor_mean_braid,0.0
strong_monitor_mean_memory,0.0
strong_monitor_mean_error_info,0.00404
zero_gain_mean_phase_lock,0.094241
max_gain_mean_phase_lock,0.42585
grid_mean_leak_bits,0.002311
grid_max_leak_bits,0.011986
