p_noise,backaction_per_recovery,correction_interval,bit_fidelity,bit_advantage,plus_fidelity,code_population,logical_coherence,productive_score
0.02,0.0,1,0.9215379933905344,0.8430759867810689,0.9999999999999969,0.9999999999999948,0.9999999999999971,0.8430759867810593
0.02,0.0,2,0.8613720252047634,0.7227440504095268,0.9999999999999886,0.9999999999999951,0.9999999999999888,0.722744050409507
0.02,0.0,3,0.8142636818365059,0.6285273636730118,0.9999999999999856,0.9999999999999933,0.9999999999999858,0.6285273636729896
0.02,0.0,4,0.7767070904470423,0.5534141808940847,0.9999999999999846,0.9999999999999957,0.9999999999999848,0.5534141808940652
0.02,0.0,5,0.6662756441650195,0.332551288330039,0.8870099199999876,0.8870099199999939,0.8870099199999878,0.23208339305649733
0.02,0.0,6,0.7213102410420066,0.44262048208401317,0.9999999999999865,0.9999999999999954,0.9999999999999867,0.4426204820839993
0.02,0.0,7,0.6259357455556694,0.2518714911113389,0.8870099199999885,0.8870099199999935,0.8870099199999887,0.17577796966254855
0.02,0.0,8,0.6830875702073167,0.3661751404146334,0.9999999999999878,0.9999999999999942,0.999999999999988,0.3661751404146224
0.02,0.0,9,0.6682712758567368,0.3365425517134737,0.9999999999999885,0.9999999999999944,0.9999999999999887,0.3365425517134641
0.02,0.0,10,0.5860383857536874,0.17207677150737477,0.8870099199999901,0.8870099199999945,0.8870099199999903,0.12009023088794935
0.02,0.0,11,0.46815121092467477,0.0,0.7095323179973173,0.7095323179973223,0.7095323179973174,0.0
0.02,0.0,12,0.6351090388427986,0.27021807768559714,0.9999999999999898,0.9999999999999944,0.99999999999999,0.27021807768559014
0.02,0.0,13,0.4337652410194014,0.0,0.6735049842663284,0.6735049842663305,0.6735049842663285,0.0
0.02,0.0,14,0.5537290612747275,0.10745812254945508,0.8870099199999921,0.8870099199999953,0.8870099199999923,0.07499368238203276
0.02,0.0,15,0.3406052414515598,0.0,0.5315599350453221,0.5315599350453233,0.5315599350453222,0.0
0.02,0.0,16,0.4008821110681772,0.0,0.640302193499848,0.6403021934998503,0.6403021934998481,0.0
0.02,0.0,17,0.48354803275005853,0.0,0.791042184237868,0.7910421842378702,0.7910421842378682,0.0
0.02,0.0,18,0.5973387434800562,0.19467748696011244,0.9999999999999916,0.999999999999996,0.9999999999999918,0.19467748696010842
0.02,0.0,19,0.2942083745387609,0.0,0.4703932324230254,0.4703932324230271,0.4703932324230255,0.0
0.02,0.0,20,0.32734076946495977,0.0,0.5315599350453221,0.5315599350453235,0.5315599350453222,0.0
0.02,0.0,21,0.3693576831930254,0.0,0.6097025015294608,0.6097025015294628,0.6097025015294609,0.0
0.02,0.0,22,0.42275097945137624,0.0,0.70953231799732,0.7095323179973214,0.7095323179973201,0.0
0.02,0.0,23,0.4907037793688774,0.0,0.8370683422719937,0.8370683422719956,0.8370683422719939,0.0
0.02,0.0,24,0.5772824417200189,0.15456488344003771,0.9999999999999928,0.9999999999999944,0.999999999999993,0.15456488344003466
0.02,0.0,25,0.23034510842416742,0.0,0.3744501765729594,0.3744501765729611,0.3744501765729595,0.0
0.02,0.0,26,0.24209256727648593,0.0,0.3965246136664867,0.39652461366648784,0.39652461366648684,0.0
0.02,0.0,27,0.25585203869932815,0.0,0.4225145194754037,0.42251451947540497,0.4225145194754038,0.0
0.02,0.0,28,0.27198600185763483,0.0,0.45311440300106015,0.45311440300106154,0.45311440300106026,0.0
0.02,0.0,29,0.2909208604667044,0.0,0.48914196226456785,0.4891419622645689,0.48914196226456796,0.0
0.02,0.0,30,0.3131583057014713,0.0,0.5315599350453223,0.5315599350453238,0.5315599350453224,0.0
0.02,0.0,31,0.3392886938993941,0.0,0.581501825409551,0.5815018254095524,0.5815018254095511,0.0
0.02,0.0,32,0.3700067963485294,0.0,0.6403021934998494,0.640302193499852,0.6403021934998495,0.0
0.02,0.0,33,0.4061303418581863,0.0,0.7095323179973196,0.709532317997323,0.7095323179973198,0.0
0.02,0.0,34,0.44862184745623523,0.0,0.7910421842378689,0.791042184237871,0.7910421842378691,0.0
0.02,0.0,35,0.4986143204394664,0.0,0.8870099199999935,0.8870099199999963,0.8870099199999937,0.0
0.02,0.0,36,0.5574415184699312,0.11488303693986235,0.999999999999993,0.9999999999999943,0.9999999999999932,0.11488303693986011
0.02,0.0,37,0.1763664929427414,0.0,0.29305737764732226,0.2930573776473231,0.2930573776473223,0.0
0.02,0.0,38,0.17828430039554255,0.0,0.2967202448430147,0.2967202448430151,0.29672024484301474,0.0
0.02,0.0,39,0.18035905520172094,0.0,0.3006947101161186,0.30069471011611965,0.30069471011611865,0.0
0.02,0.0,40,0.18260459482319125,0.0,0.30500728094196916,0.30500728094197,0.3050072809419692,0.0
0.02,0.0,41,0.1850358957617073,0.0,0.3096867197721021,0.309686719772103,0.30968671977210216,0.0
0.02,0.0,42,0.18766917344380563,0.0,0.3147642358638263,0.3147642358638273,0.31476423586382635,0.0
0.02,0.0,43,0.19052199036869427,0.0,0.32027369342863116,0.3202736934286322,0.3202736934286312,0.0
0.02,0.0,44,0.1936133732403635,0.0,0.32625183748766395,0.32625183748766473,0.326251837487664,0.0
0.02,0.0,45,0.19696393986513333,0.0,0.33273853894060773,0.3327385389406089,0.3327385389406078,0.0
0.02,0.0,46,0.20059603666096387,0.0,0.3397770604824304,0.33977706048243134,0.33977706048243045,0.0
0.02,0.0,47,0.2045338876956527,0.0,0.3474143451415261,0.3474143451415276,0.34741434514152614,0.0
0.02,0.0,48,0.2088037562479053,0.0,0.35570132936363524,0.3557013293636362,0.3557013293636353,0.0
0.02,0.0,49,0.2134341199688172,0.0,0.36469328272963913,0.3646932827296403,0.3646932827296392,0.0
0.02,0.0,50,0.21845586081198173,0.0,0.3744501765729593,0.37445017657296054,0.37445017657295937,0.0
0.02,0.0,51,0.22390247099896693,0.0,0.38503708395503405,0.38503708395503533,0.38503708395503417,0.0
0.02,0.0,52,0.22981027639382548,0.0,0.3965246136664867,0.3965246136664882,0.39652461366648684,0.0
0.02,0.0,53,0.23621867877642677,0.0,0.40898938114853195,0.4089893811485333,0.40898938114853206,0.0
0.02,0.0,54,0.2431704186304397,0.0,0.42251451947540386,0.4225145194754051,0.42251451947540397,0.0
0.02,0.0,55,0.2507118601986123,0.0,0.437190233805777,0.43719023380577837,0.4371902338057771,0.0
0.02,0.0,56,0.258893300706515,0.0,0.4531144030010604,0.45311440300106176,0.4531144030010605,0.0
0.02,0.0,57,0.26776930581709035,0.0,0.4703932324230257,0.4703932324230271,0.47039323242302583,0.0
0.02,0.0,58,0.27739907355331234,0.0,0.48914196226456785,0.4891419622645695,0.48914196226456796,0.0
0.02,0.0,59,0.2878468291161101,0.0,0.509485636137769,0.509485636137771,0.5094856361377691,0.0
0.02,0.0,60,0.2991822532307792,0.0,0.5315599350453223,0.5315599350453243,0.5315599350453224,0.0
0.02,0.0,61,0.31148094687870653,0.0,0.5555120822974419,0.5555120822974435,0.555512082297442,0.0
0.02,0.0,62,0.32482493551391695,0.0,0.581501825409551,0.5815018254095532,0.5815018254095511,0.0
0.02,0.0,63,0.33930321612727865,0.0,0.6097025015294609,0.6097025015294628,0.609702501529461,0.0
0.02,0.0,64,0.355012350806995,0.0,0.6403021934998494,0.6403021934998514,0.6403021934998495,0.0
0.02,0.0,65,0.37205711075408193,0.0,0.6735049842663299,0.6735049842663319,0.67350498426633,0.0
0.02,0.0,66,0.3905511750480757,0.0,0.70953231799732,0.7095323179973219,0.7095323179973201,0.0
0.02,0.0,67,0.41061788882333705,0.0,0.7486244769936198,0.7486244769936221,0.7486244769936199,0.0
0.02,0.0,68,0.43239108591257247,0.0,0.7910421842378687,0.7910421842378713,0.7910421842378689,0.0
0.02,0.0,69,0.4560159814441467,0.0,0.8370683422719933,0.8370683422719956,0.8370683422719936,0.0
0.02,0.0,70,0.4816501403463133,0.0,0.8870099199999932,0.8870099199999953,0.8870099199999935,0.0
0.02,0.0,71,0.5094645282177506,0.018929056435501135,0.941199999999993,0.9411999999999949,0.9411999999999933,0.015782460881604815
0.02,0.0,72,0.5396446515731232,0.07928930314624649,0.9999999999999926,0.9999999999999949,0.9999999999999928,0.07928930314624494
0.02,0.012,1,0.9215379933905333,0.8430759867810667,0.586967478067398,0.9999999999999937,0.1739349561347992,0.0860731368366015
0.02,0.012,2,0.8613720252047633,0.7227440504095266,0.7085275498194356,0.9999999999999951,0.41705509963888265,0.21356727333080833
0.02,0.012,3,0.8142636818365057,0.6285273636730113,0.7791037221646067,0.9999999999999931,0.5582074443292281,0.27334749175458894
0.02,0.012,4,0.7767070904470423,0.5534141808940847,0.8228990165821422,0.9999999999999957,0.6457980331643003,0.29409899795048744
0.02,0.012,5,0.6662756441650195,0.332551288330039,0.7591477899882504,0.8870099199999939,0.6312856599765133,0.1413641765535868
0.02,0.012,6,0.7213102410420065,0.44262048208401295,0.8735664078611742,0.9999999999999952,0.7471328157223622,0.2888851675938486
0.02,0.012,7,0.6259357455556694,0.2518714911113389,0.7913586845864141,0.8870099199999935,0.6957074491728399,0.12300068113416723
0.02,0.012,8,0.6830875702073167,0.3661751404146334,0.9018078001869417,0.9999999999999942,0.8036156003738958,0.26536962038986256
0.02,0.012,9,0.6682712758567368,0.3365425517134737,0.9116883198636706,0.9999999999999944,0.8233766397273529,0.25262999616057813
0.02,0.012,10,0.5860383857536873,0.17207677150737455,0.8176562137573864,0.8870099199999941,0.7483025075147828,0.09338963287147604
0.02,0.012,11,0.46815121092467477,0.0,0.6614148336296579,0.7095323179973223,0.6132973492619986,0.0
0.02,0.012,12,0.6351090388427985,0.2702180776855969,0.9321842245276721,0.9999999999999944,0.8643684490553547,0.2177283869780686
0.02,0.012,13,0.4337652410194014,0.0,0.6349883828510654,0.6735049842663305,0.5964717814358025,0.0
0.02,0.012,14,0.5537290612747273,0.10745812254945464,0.8362833354339684,0.8870099199999951,0.7855567508679449,0.06261793382295834
0.02,0.012,15,0.34060524145155974,0.0,0.5069489853412362,0.5315599350453232,0.4823380356371505,0.0
0.02,0.012,16,0.4008821110681772,0.0,0.6106565335456285,0.6403021934998503,0.5810108735914096,0.0
0.02,0.012,17,0.4835480327500584,0.0,0.7544173407789108,0.7910421842378701,0.7177924973199535,0.0
0.02,0.012,18,0.5973387434800562,0.19467748696011244,0.9537005178879934,0.999999999999996,0.9074010357759954,0.1684717241768266
0.02,0.012,19,0.2942083745387609,0.0,0.4538622444505883,0.4703932324230271,0.4373312564781513,0.0
0.02,0.012,20,0.32734076946495977,0.0,0.5128793710252997,0.5315599350453235,0.4941988070052773,0.0
0.02,0.012,21,0.3693576831930254,0.0,0.5882757801720322,0.6097025015294628,0.5668490588146038,0.0
0.02,0.012,22,0.42275097945137624,0.0,0.6845972861847852,0.7095323179973214,0.6596622543722507,0.0
0.02,0.012,23,0.4907037793688774,0.0,0.8076513231815442,0.8370683422719956,0.778234304091095,0.0
0.02,0.012,24,0.5772824417200189,0.15456488344003771,0.964857087999994,0.9999999999999944,0.9297141759999954,0.13865108591173692
0.02,0.012,25,0.23034510842416742,0.0,0.3655712139860617,0.3744501765729611,0.35669225139916405,0.0
0.02,0.012,26,0.24209256727648593,0.0,0.38712222202722735,0.39652461366648784,0.3777198303879681,0.0
0.02,0.012,27,0.25585203869932815,0.0,0.4124958551896032,0.42251451947540497,0.4024771909038028,0.0
0.02,0.012,28,0.27198600185763483,0.0,0.4423701542770992,0.45311440300106154,0.43162590555313834,0.0
0.02,0.012,29,0.29092086046670435,0.0,0.4775434280553507,0.48914196226456885,0.46594489384613363,0.0
0.02,0.012,30,0.3131583057014713,0.0,0.518955585865528,0.5315599350453238,0.5063512366857339,0.0
0.02,0.012,31,0.3392886938993941,0.0,0.56771325412544,0.5815018254095524,0.5539246828413293,0.0
0.02,0.012,32,0.37000679634852895,0.0,0.6251193478875814,0.6403021934998513,0.6099365022753135,0.0
0.02,0.012,33,0.4061303418581863,0.0,0.6927078876729675,0.709532317997323,0.6758834573486157,0.0
0.02,0.012,34,0.44862184745623523,0.0,0.7722849919652209,0.791042184237871,0.7535277996925732,0.0
0.02,0.012,35,0.4986143204394664,0.0,0.8659771407769539,0.8870099199999963,0.8449443615539144,0.0
0.02,0.012,36,0.5574415184699312,0.11488303693986235,0.9762879999999934,0.9999999999999943,0.9525759999999939,0.10683990525417292
0.02,0.012,37,0.1763664929427414,0.0,0.2895406891155544,0.2930573776473231,0.28602400058378674,0.0
0.02,0.012,38,0.17828430039554255,0.0,0.2931596019048986,0.2967202448430151,0.2895989589667826,0.0
0.02,0.012,39,0.18035905520172094,0.0,0.29708637359472523,0.30069471011611965,0.293478037073332,0.0
0.02,0.012,40,0.18260459482319125,0.0,0.30134719357066564,0.30500728094197,0.2976871061993622,0.0
0.02,0.012,41,0.1850358957617073,0.0,0.305970479134837,0.309686719772103,0.302254238497572,0.0
0.02,0.012,42,0.18766917344380563,0.0,0.3109870650334605,0.3147642358638273,0.30720989420309486,0.0
0.02,0.012,43,0.19052199036869427,0.0,0.3164304091074877,0.3202736934286322,0.3125871247863443,0.0
0.02,0.012,44,0.1936133732403635,0.0,0.32233681543781223,0.32625183748766473,0.31842179338796056,0.0
0.02,0.012,45,0.19696393986513328,0.0,0.32874567647332076,0.3327385389406089,0.32475281400603384,0.0
0.02,0.012,46,0.20059603666096387,0.0,0.3356997357566416,0.33977706048243134,0.3316224110308529,0.0
0.02,0.012,47,0.2045338876956527,0.0,0.3432453729998281,0.3474143451415276,0.3390764008581302,0.0
0.02,0.012,48,0.2088037562479053,0.0,0.3514329134112719,0.3557013293636362,0.34716449745890865,0.0
0.02,0.012,49,0.2134341199688172,0.0,0.36031696333688384,0.3646932827296403,0.3559406439441286,0.0
0.02,0.012,50,0.21845586081198173,0.0,0.36995677445408426,0.37445017657296054,0.36546337233520926,0.0
0.02,0.012,51,0.22390247099896693,0.0,0.38041663894757416,0.38503708395503533,0.3757961939401143,0.0
0.02,0.012,52,0.22981027639382548,0.0,0.3917663183024894,0.3965246136664882,0.3870080229384922,0.0
0.02,0.012,53,0.23621867877642677,0.0,0.40408150857475006,0.4089893811485333,0.3991736360009682,0.0
0.02,0.012,54,0.2431704186304397,0.0,0.41744434524169943,0.4225145194754051,0.4123741710079951,0.0
0.02,0.012,55,0.2507118601986123,0.0,0.4319439510001081,0.43719023380577837,0.4266976681944392,0.0
0.02,0.012,56,0.258893300706515,0.0,0.447677030165048,0.45311440300106176,0.4422396573290357,0.0
0.02,0.012,57,0.26776930581709035,0.0,0.46474851363394987,0.4703932324230271,0.45910379484487407,0.0
0.02,0.012,58,0.27739907355331234,0.0,0.48327225871739354,0.4891419622645695,0.47740255517021934,0.0
0.02,0.012,59,0.2878468291161101,0.0,0.5033718085041162,0.509485636137771,0.4972579808704636,0.0
0.02,0.012,60,0.2991822532307792,0.0,0.525181215824779,0.5315599350453243,0.5188024966042358,0.0
0.02,0.012,61,0.31148094687870653,0.0,0.5488459373098731,0.5555120822974435,0.5421797923223045,0.0
0.02,0.012,62,0.32482493551391695,0.0,0.5745238035046368,0.5815018254095532,0.5675457815997228,0.0
0.02,0.012,63,0.33930321612727865,0.0,0.6023860715111077,0.6097025015294628,0.5950696414927545,0.0
0.02,0.012,64,0.355012350806995,0.0,0.6326185671778515,0.6403021934998514,0.6249349408558537,0.0
0.02,0.012,65,0.37205711075408193,0.0,0.6654229244551341,0.6735049842663319,0.6573408646439385,0.0
0.02,0.012,66,0.3905511750480757,0.0,0.7010179301813523,0.7095323179973219,0.6925035423653847,0.0
0.02,0.012,67,0.41061788882333705,0.0,0.7396409832696965,0.7486244769936221,0.7306574895457734,0.0
0.02,0.012,68,0.43239108591257247,0.0,0.7815496780270145,0.7910421842378713,0.7720571718161604,0.0
0.02,0.012,69,0.4560159814441467,0.0,0.8270235221647296,0.8370683422719956,0.816978702057466,0.0
