metric,value
split_logical_leak_synergy_bits,1.000000
split_logical_leak_conditional_leakage_bits,1.000000
clean_syndrome_error_syndrome_mi_bits,0.721928
clean_syndrome_logical_synergy_bits,0.000000
ideal_syndrome_logical_coherence,1.000000
ideal_syndrome_logical_channel_fe_identity,0.981824
centralizing_record_logical_coherence,0.000000
centralizing_record_logical_channel_fe_identity,0.490912
centralizing_record_bit_fidelity,0.981824
best_interval_backaction_0.000,1
best_score_backaction_0.000,0.843076
interval_1_score_backaction_0.000,0.843076
best_interval_backaction_0.012,4
best_score_backaction_0.012,0.294099
interval_1_score_backaction_0.012,0.086073
noisiest_qubit_bare_bit_advantage,0.001379
quiet_qubit_bare_bit_advantage,0.375413
noisiest_qubit_syndrome_mi_bits,0.504414
