access_probability,capture_probability,useless_noise,context_correlation,needed_access_mi_bits,protected_leakage_cmi_bits,protected_remainder_bits,record_innovation_bits,structured_fraction,needed_access_norm,protected_leakage_norm,protected_remainder_norm,record_burden,self_limiting_score,regime
0.0,0.0,0.08,0.35,0.0,0.0,0.9097361225311662,0.08,0.0,0.0,0.0,1.0,0.00015998720068266525,0.0,dissolution_no_record
0.01,0.0,0.08,0.35,0.010000000000000009,0.0,0.9097361225311661,0.1707931358959112,0.0585503623874817,0.010000000000000009,0.0,1.0,0.0007289915381912815,0.0005850767966874324,dissolution_no_record
0.02,0.0,0.08,0.35,0.020000000000000018,0.0,0.9097361225311662,0.24144054254182068,0.08283612929893808,0.020000000000000018,0.0,1.0,0.0014562769876512727,0.00165430993900188,dissolution_no_record
0.03,0.0,0.08,0.35,0.030000000000000027,1.1102230246251565e-16,0.909736122531166,0.3043918578315762,0.09855716974072086,0.030000000000000027,1.220379181532524e-16,0.9999999999999999,0.0023136793860640825,0.0029498742014622908,dissolution_unstructured_record
0.04,0.0,0.08,0.35,0.040000000000000036,0.0,0.9097361225311662,0.36229218908241484,0.1104081214152281,0.040000000000000036,0.0,1.0,0.0032760128780192632,0.004401856919505359,dissolution_unstructured_record
0.05,0.0,0.08,0.35,0.050000000000000044,0.0,0.9097361225311661,0.4163969571159562,0.12007772666330097,0.050000000000000044,0.0,1.0,0.004325279565418727,0.005977917846295118,transition
0.06,0.0,0.08,0.35,0.06000000000000005,0.0,0.9097361225311662,0.4674449191544763,0.12835736905329778,0.06000000000000005,0.0,1.0,0.005447725839494932,0.007659486797832999,transition
0.07,0.0,0.08,0.35,0.07000000000000006,0.0,0.9097361225311661,0.5159236509002233,0.13567899024954308,0.07000000000000006,0.0,1.0,0.006632338647090563,0.009434538486723905,transition
0.08,0.0,0.08,0.35,0.07999999999999974,0.0,0.9097361225311664,0.5621791902022727,0.14230338190073463,0.07999999999999975,0.0,1.0,0.007870004118485263,0.011294676295928082,transition
0.09,0.0,0.08,0.35,0.08999999999999986,0.0,0.9097361225311663,0.6064698170641027,0.1483998007282315,0.08999999999999986,0.0,1.0000000000000002,0.009152994944954806,0.013233734829210014,transition
0.1,0.0,0.08,0.35,0.09999999999999987,0.0,0.9097361225311662,0.6489955935892812,0.15408425109167254,0.09999999999999987,0.0,1.0,0.010474636883123667,0.0152470274512079,transition
0.11,0.0,0.08,0.35,0.10999999999999988,0.0,0.9097361225311662,0.6899159581645278,0.1594397095736806,0.10999999999999988,0.0,1.0,0.01182908048254927,0.017330905285872097,transition
0.12,0.0,0.08,0.35,0.11999999999999988,0.0,0.9097361225311662,0.7293608652873641,0.1645276100092381,0.11999999999999988,0.0,1.0,0.013211138410937906,0.019482481557718208,transition
0.13,0.0,0.08,0.35,0.1299999999999999,0.0,0.9097361225311662,0.7674381850279889,0.16939475066028767,0.1299999999999999,0.0,1.0,0.014616165673373982,0.021699450359656793,transition
