metric,value
grid_points,10201
default_useless_noise,0.080000
context_correlation,0.350000
max_self_limiting_score,0.899316
max_score_access_probability,1.000000
max_score_capture_probability,0.000000
max_score_needed_access_mi_bits,1.000000
max_score_protected_leakage_cmi_bits,0.000000
max_score_regime,protected_forgetting_interval
protected_policy_internal_score,0.399800
total_possession_internal_score,0.000000
noisy_dissolution_internal_score,0.000000
pretended_forgetting_public_score,0.399800
pretended_forgetting_internal_score,0.000000
count_crystallization_capture,6118
count_dissolution_low_structure,1648
count_dissolution_no_record,5
count_dissolution_unstructured_record,165
count_protected_forgetting_interval,632
count_transition,1633
