case,time,rate,coherence
aligned,0.0,0.0,1.0
misaligned,0.0,2.0,1.0
aligned,0.025,0.0,1.0
misaligned,0.025,2.0,0.951229424500714
aligned,0.05,0.0,1.0
misaligned,0.05,2.0,0.9048374180359595
aligned,0.07500000000000001,0.0,1.0
misaligned,0.07500000000000001,2.0,0.8607079764250578
aligned,0.1,0.0,1.0
misaligned,0.1,2.0,0.8187307530779818
aligned,0.125,0.0,1.0
misaligned,0.125,2.0,0.7788007830714049
aligned,0.15000000000000002,0.0,1.0
misaligned,0.15000000000000002,2.0,0.7408182206817179
aligned,0.17500000000000002,0.0,1.0
misaligned,0.17500000000000002,2.0,0.7046880897187134
aligned,0.2,0.0,1.0
misaligned,0.2,2.0,0.6703200460356393
aligned,0.225,0.0,1.0
misaligned,0.225,2.0,0.6376281516217733
aligned,0.25,0.0,1.0
misaligned,0.25,2.0,0.6065306597126334
aligned,0.275,0.0,1.0
misaligned,0.275,2.0,0.5769498103804866
aligned,0.30000000000000004,0.0,1.0
misaligned,0.30000000000000004,2.0,0.5488116360940264
aligned,0.325,0.0,1.0
misaligned,0.325,2.0,0.522045776761016
aligned,0.35000000000000003,0.0,1.0
misaligned,0.35000000000000003,2.0,0.49658530379140947
aligned,0.375,0.0,1.0
misaligned,0.375,2.0,0.4723665527410147
aligned,0.4,0.0,1.0
misaligned,0.4,2.0,0.44932896411722156
aligned,0.42500000000000004,0.0,1.0
misaligned,0.42500000000000004,2.0,0.42741493194872665
aligned,0.45,0.0,1.0
misaligned,0.45,2.0,0.4065696597405991
aligned,0.47500000000000003,0.0,1.0
misaligned,0.47500000000000003,2.0,0.3867410234545012
aligned,0.5,0.0,1.0
misaligned,0.5,2.0,0.36787944117144233
aligned,0.525,0.0,1.0
misaligned,0.525,2.0,0.3499377491111553
aligned,0.55,0.0,1.0
misaligned,0.55,2.0,0.33287108369807955
aligned,0.5750000000000001,0.0,1.0
misaligned,0.5750000000000001,2.0,0.31663676937905316
aligned,0.6000000000000001,0.0,1.0
misaligned,0.6000000000000001,2.0,0.301194211912202
aligned,0.625,0.0,1.0
misaligned,0.625,2.0,0.2865047968601901
aligned,0.65,0.0,1.0
misaligned,0.65,2.0,0.2725317930340126
aligned,0.675,0.0,1.0
misaligned,0.675,2.0,0.2592402606458915
aligned,0.7000000000000001,0.0,1.0
misaligned,0.7000000000000001,2.0,0.24659696394160643
aligned,0.7250000000000001,0.0,1.0
misaligned,0.7250000000000001,2.0,0.23457028809379762
aligned,0.75,0.0,1.0
misaligned,0.75,2.0,0.22313016014842982
aligned,0.775,0.0,1.0
misaligned,0.775,2.0,0.21224797382674304
aligned,0.8,0.0,1.0
misaligned,0.8,2.0,0.20189651799465538
aligned,0.8250000000000001,0.0,1.0
misaligned,0.8250000000000001,2.0,0.19204990862075408
aligned,0.8500000000000001,0.0,1.0
misaligned,0.8500000000000001,2.0,0.1826835240527346
aligned,0.875,0.0,1.0
misaligned,0.875,2.0,0.17377394345044514
aligned,0.9,0.0,1.0
misaligned,0.9,2.0,0.16529888822158653
aligned,0.925,0.0,1.0
misaligned,0.925,2.0,0.1572371663136276
aligned,0.9500000000000001,0.0,1.0
misaligned,0.9500000000000001,2.0,0.14956861922263504
aligned,0.9750000000000001,0.0,1.0
misaligned,0.9750000000000001,2.0,0.14227407158651353
aligned,1.0,0.0,1.0
misaligned,1.0,2.0,0.1353352832366127
aligned,1.0250000000000001,0.0,1.0
misaligned,1.0250000000000001,2.0,0.12873490358780418
aligned,1.05,0.0,1.0
misaligned,1.05,2.0,0.1224564282529819
aligned,1.075,0.0,1.0
misaligned,1.075,2.0,0.11648415777349697
aligned,1.1,0.0,1.0
misaligned,1.1,2.0,0.11080315836233387
aligned,1.125,0.0,1.0
misaligned,1.125,2.0,0.10539922456186433
aligned,1.1500000000000001,0.0,1.0
misaligned,1.1500000000000001,2.0,0.1002588437228037
aligned,1.175,0.0,1.0
misaligned,1.175,2.0,0.09536916221554961
aligned,1.2000000000000002,0.0,1.0
misaligned,1.2000000000000002,2.0,0.09071795328941247
aligned,1.225,0.0,1.0
misaligned,1.225,2.0,0.0862935864993705
aligned,1.25,0.0,1.0
misaligned,1.25,2.0,0.0820849986238988
aligned,1.2750000000000001,0.0,1.0
misaligned,1.2750000000000001,2.0,0.07808166600115313
aligned,1.3,0.0,1.0
misaligned,1.3,2.0,0.07427357821433388
aligned,1.3250000000000002,0.0,1.0
misaligned,1.3250000000000002,2.0,0.07065121306042957
aligned,1.35,0.0,1.0
misaligned,1.35,2.0,0.06720551273974976
aligned,1.375,0.0,1.0
misaligned,1.375,2.0,0.06392786120670757
aligned,1.4000000000000001,0.0,1.0
misaligned,1.4000000000000001,2.0,0.06081006262521795
aligned,1.425,0.0,1.0
misaligned,1.425,2.0,0.057844320874838456
aligned,1.4500000000000002,0.0,1.0
misaligned,1.4500000000000002,2.0,0.05502322005640721
aligned,1.475,0.0,1.0
misaligned,1.475,2.0,0.05233970594843238
aligned,1.5,0.0,1.0
misaligned,1.5,2.0,0.049787068367863944
aligned,1.5250000000000001,0.0,1.0
misaligned,1.5250000000000001,2.0,0.04735892439114091
aligned,1.55,0.0,1.0
misaligned,1.55,2.0,0.0450492023935578
aligned,1.5750000000000002,0.0,1.0
misaligned,1.5750000000000002,2.0,0.042852126867040166
aligned,1.6,0.0,1.0
misaligned,1.6,2.0,0.04076220397836621
aligned,1.625,0.0,1.0
misaligned,1.625,2.0,0.03877420783172201
aligned,1.6500000000000001,0.0,1.0
misaligned,1.6500000000000001,2.0,0.036883167401239994
aligned,1.675,0.0,1.0
misaligned,1.675,2.0,0.035084354100845025
aligned,1.7000000000000002,0.0,1.0
misaligned,1.7000000000000002,2.0,0.033373269960326066
aligned,1.725,0.0,1.0
misaligned,1.725,2.0,0.03174563637806794
aligned,1.75,0.0,1.0
misaligned,1.75,2.0,0.0301973834223185
aligned,1.7750000000000001,0.0,1.0
misaligned,1.7750000000000001,2.0,0.028724639654239423
aligned,1.8,0.0,1.0
misaligned,1.8,2.0,0.02732372244729256
aligned,1.8250000000000002,0.0,1.0
misaligned,1.8250000000000002,2.0,0.025991128778755333
aligned,1.85,0.0,1.0
misaligned,1.85,2.0,0.024723526470339388
aligned,1.875,0.0,1.0
misaligned,1.875,2.0,0.023517745856009107
