cycle,q_star,eta_star,misalignment,bound,coherence_floor_bound
0.0,0.9,0.0009,1.0,1.0,0.991
1.0,0.9,0.0009,0.9009,0.9009,0.991
2.0,0.9,0.0009,0.81171,0.81171,0.991
3.0,0.9,0.0009,0.7314390000000001,0.7314390000000001,0.991
4.0,0.9,0.0009,0.6591951,0.6591951,0.991
5.0,0.9,0.0009,0.5941755900000001,0.5941755900000001,0.991
6.0,0.9,0.0009,0.5356580310000001,0.5356580310000001,0.991
7.0,0.9,0.0009,0.4829922279000001,0.48299222790000007,0.991
8.0,0.9,0.0009,0.43559300511000015,0.4355930051100001,0.991
9.0,0.9,0.0009,0.3929337045990002,0.39293370459900007,0.991
10.0,0.9,0.0009,0.3545403341391002,0.3545403341391001,0.991
11.0,0.9,0.0009,0.3199863007251902,0.3199863007251901,0.991
12.0,0.9,0.0009,0.2888876706526712,0.2888876706526711,0.991
13.0,0.9,0.0009,0.2608989035874041,0.260898903587404,0.991
14.0,0.9,0.0009,0.2357090132286637,0.2357090132286636,0.991
15.0,0.9,0.0009,0.21303811190579733,0.21303811190579724,0.991
16.0,0.9,0.0009,0.19263430071521762,0.1926343007152175,0.991
17.0,0.9,0.0009,0.17427087064369587,0.17427087064369579,0.991
18.0,0.9,0.0009,0.1577437835793263,0.1577437835793262,0.991
19.0,0.9,0.0009,0.14286940522139369,0.1428694052213936,0.991
20.0,0.9,0.0009,0.12948246469925434,0.12948246469925423,0.991
21.0,0.9,0.0009,0.11743421822932891,0.11743421822932881,0.991
22.0,0.9,0.0009,0.10659079640639602,0.10659079640639593,0.991
23.0,0.9,0.0009,0.09683171676575641,0.09683171676575635,0.991
24.0,0.9,0.0009,0.08804854508918078,0.08804854508918071,0.991
25.0,0.9,0.0009,0.0801436905802627,0.08014369058026263,0.991
26.0,0.9,0.0009,0.07302932152223643,0.07302932152223637,0.991
27.0,0.9,0.0009,0.06662638937001279,0.06662638937001274,0.991
28.0,0.9,0.0009,0.06086375043301151,0.06086375043301147,0.991
29.0,0.9,0.0009,0.055677375389710355,0.05567737538971032,0.991
30.0,0.9,0.0009,0.051009637850739316,0.051009637850739295,0.991
31.0,0.9,0.0009,0.046808674065665384,0.046808674065665364,0.991
32.0,0.9,0.0009,0.04302780665909885,0.043027806659098826,0.991
33.0,0.9,0.0009,0.03962502599318896,0.03962502599318894,0.991
34.0,0.9,0.0009,0.03656252339387007,0.03656252339387005,0.991
35.0,0.9,0.0009,0.03380627105448306,0.03380627105448305,0.991
36.0,0.9,0.0009,0.031325643949034754,0.03132564394903474,0.991
37.0,0.9,0.0009,0.02909307955413128,0.02909307955413127,0.991
38.0,0.9,0.0009,0.027083771598718154,0.027083771598718144,0.991
39.0,0.9,0.0009,0.02527539443884634,0.025275394438846334,0.991
40.0,0.9,0.0009,0.02364785499496171,0.0236478549949617,0.991
41.0,0.9,0.0009,0.02218306949546554,0.02218306949546553,0.991
42.0,0.9,0.0009,0.02086476254591899,0.020864762545918975,0.991
43.0,0.9,0.0009,0.01967828629132709,0.019678286291327077,0.991
44.0,0.9,0.0009,0.018610457662194383,0.018610457662194373,0.991
45.0,0.9,0.0009,0.017649411895974947,0.017649411895974937,0.991
46.0,0.9,0.0009,0.016784470706377456,0.016784470706377442,0.991
47.0,0.9,0.0009,0.016006023635739712,0.016006023635739698,0.991
48.0,0.9,0.0009,0.015305421272165741,0.015305421272165727,0.991
49.0,0.9,0.0009,0.014674879144949167,0.014674879144949155,0.991
50.0,0.9,0.0009,0.01410739123045425,0.01410739123045424,0.991
51.0,0.9,0.0009,0.013596652107408826,0.013596652107408817,0.991
52.0,0.9,0.0009,0.013136986896667943,0.013136986896667936,0.991
53.0,0.9,0.0009,0.012723288207001148,0.012723288207001141,0.991
54.0,0.9,0.0009,0.012350959386301033,0.012350959386301028,0.991
55.0,0.9,0.0009,0.01201586344767093,0.012015863447670926,0.991
56.0,0.9,0.0009,0.011714277102903837,0.011714277102903833,0.991
57.0,0.9,0.0009,0.011442849392613454,0.01144284939261345,0.991
58.0,0.9,0.0009,0.011198564453352109,0.011198564453352107,0.991
59.0,0.9,0.0009,0.010978708008016898,0.010978708008016896,0.991
60.0,0.9,0.0009,0.010780837207215208,0.010780837207215205,0.991
61.0,0.9,0.0009,0.010602753486493687,0.010602753486493687,0.991
62.0,0.9,0.0009,0.010442478137844317,0.010442478137844317,0.991
63.0,0.9,0.0009,0.010298230324059885,0.010298230324059885,0.991
64.0,0.9,0.0009,0.010168407291653896,0.010168407291653898,0.991
65.0,0.9,0.0009,0.010051566562488507,0.010051566562488507,0.991
66.0,0.9,0.0009,0.009946409906239656,0.009946409906239658,0.991
67.0,0.9,0.0009,0.009851768915615691,0.009851768915615691,0.991
68.0,0.9,0.0009,0.009766592024054123,0.009766592024054124,0.991
69.0,0.9,0.0009,0.009689932821648711,0.009689932821648711,0.991
70.0,0.9,0.0009,0.00962093953948384,0.009620939539483838,0.991
71.0,0.9,0.0009,0.009558845585535455,0.009558845585535455,0.991
72.0,0.9,0.0009,0.009502961026981909,0.00950296102698191,0.991
73.0,0.9,0.0009,0.009452664924283719,0.00945266492428372,0.991
74.0,0.9,0.0009,0.009407398431855347,0.009407398431855347,0.991
75.0,0.9,0.0009,0.009366658588669812,0.009366658588669814,0.991
76.0,0.9,0.0009,0.009329992729802832,0.009329992729802832,0.991
77.0,0.9,0.0009,0.009296993456822548,0.009296993456822548,0.991
78.0,0.9,0.0009,0.009267294111140294,0.009267294111140294,0.991
79.0,0.9,0.0009,0.009240564700026264,0.009240564700026266,0.991
80.0,0.9,0.0009,0.009216508230023637,0.009216508230023639,0.991
